,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
0,ADDRESS,DEP,Department of Environmental Protection,3057890046,BROOKLYN,,,,BROOKLYN,2019-03-16T06:20:00.000,07 BROOKLYN,Sewer,2019-03-16T00:00:00.000,61 ST,62 ST,Sewer Backup (Use Comments) (SA),,N/A,6120 3 AVENUE,11220,,,40.64111344928371,"{'type': 'Point', 'coordinates': [-74.021316941458, 40.641113449284]}",,-74.02131694145791,PHONE,BROOKLYN,Unspecified,2019-03-16T06:20:00.000,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,,Closed,3 AVENUE,,,41973219,978334,172852
1,LATLONG,DOHMH,Department of Health and Mental Hygiene,,MANHATTAN,,,,NEW YORK,2019-04-22T00:00:00.000,Unspecified MANHATTAN,Rodent,2019-03-16T00:00:00.000,,,Rat Sighting,2019-04-15T21:01:57.000,N/A,45 PARK PLACE,10007,,,40.71383503148228,"{'type': 'Point', 'coordinates': [-74.009977516843, 40.713835031482]}",Construction Site,-74.00997751684332,MOBILE,MANHATTAN,Unspecified,2019-04-18T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,PARK PLACE,,,41977959,981484,199346
2,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3019630063,BROOKLYN,,,,BROOKLYN,2019-04-22T00:00:00.000,02 BROOKLYN,Rodent,2019-03-16T00:00:00.000,GREENE AVENUE,GATES AVENUE,Rat Sighting,2019-04-15T23:03:51.000,N/A,146 ST JAMES PLACE,11238,,,40.685764677680524,"{'type': 'Point', 'coordinates': [-73.964260477998, 40.685764677681]}",Other (Explain Below),-73.96426047799771,ONLINE,BROOKLYN,Unspecified,2019-04-16T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,ST JAMES PLACE,,,41972709,994162,189121
3,LATLONG,DOHMH,Department of Health and Mental Hygiene,,QUEENS,,,,REGO PARK,2019-04-04T00:00:00.000,Unspecified QUEENS,Rodent,2019-03-16T00:00:00.000,,,Mouse Sighting,2019-04-15T18:45:11.000,N/A,63-50 WETHEROLE STREET,11374,,,40.72795950231349,"{'type': 'Point', 'coordinates': [-73.86419252961, 40.727959502313]}",3+ Family Apt. Building,-73.86419252961002,MOBILE,QUEENS,Unspecified,2019-04-04T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WETHEROLE STREET,,,41972992,1021891,204521
4,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1013270011,MANHATTAN,,,,NEW YORK,2019-04-08T00:00:00.000,06 MANHATTAN,Rodent,2019-03-16T00:00:00.000,3 AVENUE,2 AVENUE,Rat Sighting,2019-04-15T00:45:05.000,N/A,225 EAST   53 STREET,10022,,,40.757406904846654,"{'type': 'Point', 'coordinates': [-73.968669016974, 40.757406904847]}",Other (Explain Below),-73.96866901697364,PHONE,MANHATTAN,Unspecified,2019-04-08T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,EAST   53 STREET,,,41969060,992930,215222
5,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4046480035,QUEENS,,,,Whitestone,2019-04-02T00:00:00.000,07 QUEENS,Rodent,2019-03-16T00:00:00.000,147 STREET,149 STREET,Rat Sighting,2019-04-15T01:28:19.000,N/A,147-32 15 DRIVE,11357,,,40.78589242487454,"{'type': 'Point', 'coordinates': [-73.818054370797, 40.785892424875]}",Other (Explain Below),-73.81805437079666,PHONE,QUEENS,Unspecified,2019-04-02T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,15 DRIVE,,,41965716,1034635,225651
6,ADDRESS,DOHMH,Department of Health and Mental Hygiene,2036230001,BRONX,,,,BRONX,2019-04-01T15:41:12.000,09 BRONX,Rodent,2019-03-16T00:00:00.000,LAFAYETTE AVENUE,STORY AVENUE,Mouse Sighting,2019-04-15T00:49:28.000,N/A,820 COLGATE AVENUE,10473,,,40.819629333185134,"{'type': 'Point', 'coordinates': [-73.879905997695, 40.819629333185]}",3+ Family Apt. Building,-73.87990599769523,ONLINE,BRONX,Unspecified,2019-04-01T15:41:12.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,COLGATE AVENUE,,,41963234,1017490,237913
7,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1013820149,MANHATTAN,,,,NEW YORK,2019-03-29T00:00:00.000,08 MANHATTAN,Unsanitary Pigeon Condition,2019-03-16T00:00:00.000,MADISON AVENUE,PARK AVENUE,Pigeon Waste,2019-04-15T12:55:20.000,N/A,32 EAST   68 STREET,10065,,,40.769107291695136,"{'type': 'Point', 'coordinates': [-73.967053365757, 40.769107291695]}",1-2 Family Dwelling,-73.96705336575685,PHONE,MANHATTAN,Unspecified,2019-03-29T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,EAST   68 STREET,,,41973226,993376,219485
8,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3018420161,BROOKLYN,,,,BROOKLYN,2019-03-28T00:00:00.000,03 BROOKLYN,Rodent,2019-03-16T00:00:00.000,BEDFORD AVENUE,ARLINGTON PLACE,Condition Attracting Rodents,2019-04-15T18:00:30.000,N/A,1219 FULTON STREET,11216,,,40.68060035221009,"{'type': 'Point', 'coordinates': [-73.952743982211, 40.68060035221]}",Vacant Lot,-73.95274398221085,PHONE,BROOKLYN,Unspecified,2019-03-28T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,FULTON STREET,,,41972109,997357,187241
9,LATLONG,DOHMH,Department of Health and Mental Hygiene,,MANHATTAN,,,,NEW YORK,2019-03-28T18:00:41.000,Unspecified MANHATTAN,Rodent,2019-03-16T00:00:00.000,,,Rat Sighting,2019-04-15T09:07:22.000,N/A,226 WEST 150 STREET,10039,,,40.82508526824167,"{'type': 'Point', 'coordinates': [-73.938419692271, 40.825085268242]}",3+ Family Apt. Building,-73.93841969227117,MOBILE,MANHATTAN,Unspecified,2019-03-28T18:00:41.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WEST 150 STREET,,,41977827,1001293,239884
