Belligerents.allies,Belligerents.axis,Casualties and losses.allies,Casualties and losses.axis,Commanders and leaders.allies,Commanders and leaders.axis,Date,Location,Result,Strength.allies,Strength.axis,Territorial,level,name,parent,time,url
Soviet Union   Mongolia,"Japan 
 
   Manchukuo","Manpower:  27,880 [nb 2]  556 [16] –990 [2] Equipment: 208 aircraft [17] 253 tanks destroyed [18] 133 armored cars destroyed 96 mortars and artillery 49 tractors and prime movers 652 trucks and other motor vehicles [15] [16] significant animal casualties [19]","Manpower:  16,343  2,895 [nb 3] Equipment: 160 aircraft [17] 29 tanks destroyed or crippled [5] Many tankettes destroyed 72 artillery pieces (field guns only) [21] 2,330 horses killed, injured, or sick [14] significant motor vehicle losses [22]",Grigoriy Shtern   Georgy Zhukov   Yakov Smushkevich   Ivan Fedyuninsky   Khorloogiin Choibalsan,Michitarō Komatsubara   Yasuoka Masaomi   Kōtoku Satō   Puyi,11 May – 16 September 1939,"Khalkha River, Mongolian People's Republic47°43′49″N 118°35′24″E﻿ / ﻿47.73028°N 118.59000°E﻿ / 47.73028; 118.59000","Soviet and Mongolian victory

Ceasefire agreement signed","61,860–73,961 [nb 1] 498–550 tanks 385–450  armored cars [4] [5] 900+ aircraft (participated)
 
 Peak strength: 580 [6] 
500 [7] –634 [2]  artillery pieces 4,000 trucks [8] 1,921 horses and camels (Mongol only) [9]","30,000 [10] [11] – 38,000 [12] 73 tanks [5] 64  tankettes 400+ aircraft (participated)
 
 Peak strength: 200 [6] 
~300 artillery pieces [2] 1,000 trucks [13] 2,708 horses [14]",Status quo ante bellum; enforcement of border claims in accordance with the Soviet and Mongolian interpretation,100,Battles of Khalkhin Gol,Japanese attacks on the U.S.,11 May – 16 September 1939,https://en.wikipedia.org/wiki/Battles_of_Khalkhin_Gol
United States,Japan,"4 battleships sunk 4 battleships damaged 1 ex-battleship sunk 1 harbor tug sunk 3 cruisers damaged [nb 2] 3 destroyers damaged 3 other ships damaged 188 aircraft destroyed 159 [6]  aircraft damaged 2,335 killed 1,143 wounded",4 midget submarines sunk 1 midget submarine grounded 29 aircraft destroyed 74 aircraft damaged 64 killed 1  sailor  captured [7],ADM  Husband E. Kimmel  LTG  Walter Short,VADM  Chūichi Nagumo  ADM  Isoroku Yamamoto  CDR  Mitsuo Fuchida,"December 7, 1941; 77 years ago (1941-12-07)","Primarily Pearl Harbor, Honolulu, Hawaii, U.S.","Major Japanese tactical victory; precipitated the entrance of the United States into World War II, other consequences",8 battleships 8 cruisers 30 destroyers 4 submarines 3  USCG  cutters [nb 1] 47 other ships [4] ≈390 aircraft,Mobile Unit : 6 aircraft carriers 2 battleships 2 heavy cruisers 1 light cruiser 9 destroyers 8 tankers 23 fleet submarines 5 midget submarines 414 aircraft,,100,Attack on Pearl Harbor,Japanese attacks on the U.S.,7 December 1941,https://en.wikipedia.org/wiki/Battle_of_Pearl_Harbor
United States,Japan,17 killed 35 wounded 406 captured 1 minesweeper scuttled 1 patrol boat scuttled 1 patrol boat captured 1 freighter damaged,1 killed 6 wounded 1 aircraft destroyed,George J. McMillin,Tomitaro Horii,8–10 December 1941,"Guam, Mariana Islands, Pacific Ocean",Japanese victory,Land: 547  marines  and  sailors Sea: 1  minesweeper 2  patrol boats 1  freighter,"Land: 5,900 infantry and marines Sea: 4  heavy cruisers 4  destroyers 2  gunboats 6  submarine chasers 2 minesweepers 2  tenders Air: unknown air forces",,100,Battle of Guam (1941),Japanese attacks on the U.S.,December 1941,https://en.wikipedia.org/wiki/Battle_of_Guam_(1941)
Japan,United States,First attempt: 2 destroyers sunk 340 killed  65 wounded   2 missing [2]   Second attempt: 2 patrol boats wrecked 10 aircraft lost 20 aircraft damaged 144 casualties [3],52 killed 49 wounded 2 missing 12 aircraft lost [4] 433 captured [5],Shigeyoshi Inoue   Sadamichi Kajioka   Shigematsu Sakaibara   Eiji Gotō   Tamon Yamaguchi,Winfield S. Cunningham   ( POW )   James P.S. Devereux   ( POW )   Paul A. Putnam   ( POW )   Henry T. Elrod   †,8–23 December 1941,"Wake Island, U.S. territory",Japanese victory,"First Attempt (11 December): 3 light cruisers  6 destroyers 2 patrol boats 2 troop transports Reinforcements arriving for Second Attempt (23 December):  2 aircraft carriers 2 heavy cruisers   2 destroyers   2,500 infantry [1]","449 USMC personnel consisting of: 
 
 399 infantry of the  1st Defense Battalion 
 50  det. VMF-211 
6 coastal artillery pieces 12 aircraft 12 anti-aircraft guns 68 U.S. Navy personnel 5 U.S. Army personnel",,100,Battle of Wake Island,Japanese attacks on the U.S.,December 1941,https://en.wikipedia.org/wiki/Battle_of_Wake_Island
United States,Japan,43 dead 50 wounded 14 aircraft destroyed Fort Mears moderately damaged Dutch Harbor moderately damaged 1  barracks ship  destroyed,10 dead unknown wounded 5 captured 8 aircraft destroyed [1],"Robert Alfred Theobald Simon Bolivar Buckner, Jr. Archibald V. Arnold",Kakuji Kakuta,"June 3–4, 1942","Dutch Harbor Naval Operating Base and U.S. Army Fort Mears,Dutch Harbor, Amaknak Island,Aleutian Islands archipelago,Alaska53°53′15″N 166°32′32″W﻿ / ﻿53.88750°N 166.54222°W﻿ / 53.88750; -166.54222Coordinates: 53°53′15″N 166°32′32″W﻿ / ﻿53.88750°N 166.54222°W﻿ / 53.88750; -166.54222",Japanese tactical victory,37th Infantry Regiment 206th Coast Artillery (AA) 1 search light battery  6 anti-aircraft batteries U.S. Marines 30  fighters,2  aircraft carriers 3  cruisers 5  destroyers 40 fighters 21  torpedo bombers 21  dive bombers 4  reconnaissance aircraft,,100,Battle of Dutch Harbor,Japanese attacks on the U.S.,", June 1942",https://en.wikipedia.org/wiki/Battle_of_Dutch_Harbor
"United States 
 
   United States Navy","Japan 
 
   Imperial Japanese Navy 
   Special Naval Landing Forces",2 killed 7 captured 1 escaped (later surrendered),"No casualties during initial capture, or during occupation/withdraw.",Lt.  Mulls (Not present during initial landing) [1],Kiichiro Higuchi   Takeji Ono   Boshiro Hosogaya   Monzo Akiyama,6 June 1942 – 28 July 1943,"Kiska, Aleutian Islands51°58′23″N 177°29′42″E﻿ / ﻿51.973°N 177.495°E﻿ / 51.973; 177.495Coordinates: 51°58′23″N 177°29′42″E﻿ / ﻿51.973°N 177.495°E﻿ / 51.973; 177.495",Japanese victory,10-man  weather station 1-6 dogs 3 aircraft [1],"+500  Special Naval Landing Forces  (Initial force) 5,183-5,400 civilians and soldiers (Occupation) [2]",Japanese occupation commences,100,Japanese occupation of Kiska,Japanese attacks on the U.S.,June 1942,https://en.wikipedia.org/wiki/Japanese_occupation_of_Kiska
United States,Empire of Japan,1 civilian killed 46 civilians captured,unknown,N/A,Matsutoshi Hosumi   Yasuyo Yamasaki   Boshirō Hosogaya,7 June 1942 – 30 May 1943,"Attu, Aleutian Islands, Pacific Ocean",Japanese occupation commences.,N/A,"1,140 - 2,900",,100,Japanese occupation of Attu,Japanese attacks on the U.S.,June 1942,https://en.wikipedia.org/wiki/Japanese_occupation_of_Attu
,,,,,,,,,,,,1,Japanese attacks on the U.S.,Pacific Theatre,Battles of Khalkhin Gol,https://en.wikipedia.org/wiki/List_of_attacks_on_U.S._territory
"United Kingdom 
 
   Hong Kong 
   India 
   Canada   China [1]   Free French [2]",Japan [3],"2,113 killed or missing 2,300 wounded 10,000 captured [a] 1 destroyer captured 1 gunboat sunk","675 killed 2,079 wounded [6]",Mark Aitchison Young   ( POW )   Christopher Maltby   ( POW )   John K. Lawson   †   Chan Chak [4],Takashi Sakai   Mineichi Koga     Tadamichi Kuribayashi,8–25 December 1941,Hong Kong,Japanese victory,"14,564 troops 1 destroyer 1 gunboat","29,700 troops 47 planes 1 cruiser 3 destroyers 4 torpedo boats 3 gunboats",Japanese occupation of Hong Kong,100,Japanese occupation of Hong Kong,Pacific Theatre,December 1941,https://en.wikipedia.org/wiki/Battle_of_Hong_Kong
"United States 
 
   Philippines",Japan,"106,000 10,000 killed, 20,000 wounded, 76,000 imprisoned [1]","8,406 [2] – 22,250 [3] 3,107 killed, 230 missing, 5,069 wounded",Douglas MacArthur   Jonathan Mayhew Wainwright IV   George M. Parker   Edward P. King   Vicente Lim   Mateo Capinpin,Masaharu Homma   Susumu Morioka   Kineo Kitajima   Kameichiro Nagano,7 January – 9 April 1942(3 months and 2 days),"Bataan Peninsula near Manila Bay in Luzon Island, Philippines",Japanese victoryBataan Death March,"120,000 U.S. and Filipino troops","75,000 Japanese troops",,100,Battle of Bataan,Japanese occupation of Philippines,,https://en.wikipedia.org/wiki/Battle_of_Bataan
