Belligerents.allies,Belligerents.axis,Belligerents.third party,Casualties and losses.allies,Casualties and losses.axis,Casualties and losses.third party,Commanders and leaders.allies,Commanders and leaders.axis,Commanders and leaders.third party,Date,Location,Result,Strength.allies,Strength.axis,Strength.third party,Territorial,level,name,parent,time,url
Republic of China,Empire of Japan,,10 killed 37 wounded,200+ killed Several armoured cars destroyed and damaged,,Xie Jinyuan,Iwane Matsui,,"October 26 – November 1, 1937","Zhabei, Shanghai, China","Chinese victory

Withdrawal of Chinese forces to British concession in 1 November","88th Division 
 
 1st Battalion, 524th Regiment 
 (423 men)",3rd Division,,,100,Defense of Sihang Warehouse,Battle of Shanghai,"October 26, 1937",https://en.wikipedia.org/wiki/Defense_of_Sihang_Warehouse
Republic of China,Empire of Japan,,"Chinese report dated November 5, 1937, to the War Council : 187,200 dead and 83,500 wounded [1]","Official Japanese war records :59,493+ (40,732 including 9,115 killed before November 8. After that, there is additional 18,761 casualties for the 9th division alone before December 1); however, this figure does not include the sick, the repatriated and those who died because of injuries [2] [3] [4] 
 General  Iwane Matsui 's Speech in 1938 : 18,000+ dead [5] 
 Osprey Publishing  2017 data : 18,800 dead (c. 17,000 combat deaths plus about 1,800 illness-induced deaths), 35,000–40,000 wounded, and 40,000 sick [6] 
 
 Chinese record : 98,417+ killed [7]",,"Chiang Kai-shek 
   Chen Cheng 
   Zhang Zhizhong 
   Feng Yuxiang","Heisuke Yanagawa 
   Iwane Matsui 
   Kiyoshi Hasegawa",,"August 13, 1937 – November 26, 1937(3 months, 1 week, and 6 days)","Shanghai, Wusong and proximity",Japanese victory,"700,000 troops 70 divisions 7 brigades 180 aircraft 40 tanks","300,000 troops 9 divisions 1 brigade 500 aircraft 300 tanks 130 naval ships",,Japanese capture of Shanghai (excluding foreign concessions),3,Battle of Shanghai,Second Sino-Japanese War,August 1937,https://en.wikipedia.org/wiki/Battle_of_Shanghai_(1937)
Japan,China,,?,?,,Hisaichi Terauchi   Kiyoshi Katsuki   Toshizō Nishio,Song Zheyuan,,August – December 1937,Beijing-Hankou Railway,Japanese victory,"78,000",?,,,100,Beiping–Hankou Railway Operation,Second Sino-Japanese War,August 1937,https://en.wikipedia.org/wiki/Beiping%E2%80%93Hankou_Railway_Operation
Japan,China,,?,?,,Toshizō Nishio,Song Zheyuan,,August – November 1937,Tianjin–Pukou Railway,Japanese victory,?,?,,,100,Tianjin–Pukou Railway Operation,Second Sino-Japanese War,August 1937,https://en.wikipedia.org/wiki/Tianjin%E2%80%93Pukou_Railway_Operation
Republic of China,"Empire of Japan 
 
   Manchukuo",,~400 [1],400–500 [1],,Lin Biao   Zhu De,Itagaki Seishiro,,Evening of 24 September – noon of 25 September 1937,"Pingxingguan, Shanxi39°20′43.98″N 113°57′34.23″E﻿ / ﻿39.3455500°N 113.9595083°E﻿ / 39.3455500; 113.9595083",Chinese victory,"6,000 troops of the 115th Division","15,000 troops (5th Division), however only certain supply troops and the 3rd Battalion of the 21st Regiment were involved in the actual ambush",,,100,Battle of Pingxingguan,Battle of Taiyuan,September 1937,https://en.wikipedia.org/wiki/Battle_of_Pingxingguan
China,Japan,,"100,000 dead, injured or missing [2] [3]","20,000 killed [2] [3] Tens of thousands more wounded Dozens of tanks and 24+ planes [4]",,Yan Xishan     Wei Lihuang   Zhu De,Itagaki Seishiro,,13 September – 11 November 1937,Niangzi Pass and Taiyuan,Japanese victory,"280,000 in 52 divisions","140,000 in 4 divisions  350+ artillery guns  150+ tanks  300 aircraft [1]",,,100,Battle of Xinkou,Battle of Taiyuan,September 1937,https://en.wikipedia.org/wiki/Battle_of_Xinkou
"China 
 
   Chinese Soviet Republic","Japan 
 
   Mengjiang",,"~100,000","~30,000",,Yan Xishan     Wei Lihuang     Zhu De       Fu Zuoyi,Isogai Rensuke     Itagaki Seishiro   Demchugdongrub,,"September 1 – November 9, 1937","Taiyuan, North China Plain",Japanese victory,"6  Army Groups , ~580,000 men","5  divisions , ~140,000 men",,,3,Battle of Taiyuan,Second Sino-Japanese War,September 1937,https://en.wikipedia.org/wiki/Battle_of_Taiyuan
China Supported by:   Soviet Union [1],Japan,,"Chinese estimate : 6,000–10,000 killed and wounded [5] 
 
 Japanese source : 50,000–70,000 killed [6] [2]","1,953 killed 
 4,994 wounded [7]",,Tang Shengzhi,Iwane Matsui,,"December 1–13, 1937",Nanking and surrounding areas,"Japanese victory

Fall of Nanking
Nanking Massacre","100,000 [2] [3]","200,000 [4]",,,100,Battle of Nanjing,Second Sino-Japanese War,December 1937,https://en.wikipedia.org/wiki/Battle_of_Nanjing
"Republic of China 
 
   National Revolutionary Army","Empire of Japan 
 
   Imperial Japanese Army",,"20,000 [3]","Japanese figures : 11,198 casualties [4]   Chinese estimate : 24,000 killed [4]    30 tanks destroyed [3] [5] 719 captured 31 artillery pieces 11 armored cars 8 armored fighting vehicles [6]",,Li Zongren   Pang Bingxun   Sun Lianzhong   Han Deqin   Bai Chongxi   Sun Zhen   Tang Enbo   Wang Mingzhang †   Zhang Zizhong   Guan Linzheng,Rensuke Isogai  (10th Division)   Itagaki Seishiro  (5th Division),,evening of 24 March¹–7 April 1938,"Tai'erzhuang (Shandong), Pizhou (Jiangsu)",Chinese victory,"100,000-400,000 troops in 10  divisions [1]","40,000-70,000 troops in 2 divisions [1] [2] 80+ tanks 11+ armored cars 8+ armored fighting vehicles Unknown number of planes [2]",,,100,Battle of Taierzhuang,Battle of Xuzhou,March 1938,https://en.wikipedia.org/wiki/Battle_of_Taierzhuang
China,Japan,,"100,000 [2]","30,000 [3]",,Li Zongren   Bai Chongxi   Pang Bingxun   Sun Lianzhong   Sun Zhen   Tang Enbai   Wang Mingzhang   †   Zhang Zizhong,Shunroku Hata   Hisaichi Terauchi   Toshizō Nishio   Isogai Rensuke   Itagaki Seishiro,,24 March-1 May 1938,Xuzhou and proximity,Japanese victorySuccessful Chinese breakout[1],"600,000 troops in 64  divisions","240,000 troops in 8 divisions",,,3,Battle of Xuzhou,Second Sino-Japanese War,December 1937,https://en.wikipedia.org/wiki/Battle_of_Xuzhou
