Belligerents.allies,Belligerents.axis,Belligerents.third party,Casualties and losses.allies,Casualties and losses.axis,Casualties and losses.third party,Casualties and losses.total,Commanders and leaders.allies,Commanders and leaders.axis,Commanders and leaders.third party,Date,Location,Result,Strength.allies,Strength.axis,Strength.third party,Strength.total,Territorial,level,name,parent,time,url
Poland,Germany   Danzig,,15-21 killed and missing 40-53 wounded Remainder captured,300-400 casualties,,,Henryk Sucharski   Franciszek Dąbrowski,Friedrich-Georg Eberhardt   Gustav Kleikamp   Wilhelm Henningsen   †,,1–7 September 1939,"Westerplatte, harbor of Free City of Danzig54°24′27″N 18°40′17″E﻿ / ﻿54.40750°N 18.67139°E﻿ / 54.40750; 18.67139Coordinates: 54°24′27″N 18°40′17″E﻿ / ﻿54.40750°N 18.67139°E﻿ / 54.40750; 18.67139",German victory,210–240 soldiers,"~3,400 soldiers and policemen 1 pre-dreadnought 2 torpedo boats 60 dive bombers",,,,100,Battle of Westerplatte,German Invasion of Poland,,https://en.wikipedia.org/wiki/Battle_of_Westerplatte
Germany,Poland,,"800 killed, missing, captured, or wounded 50 tanks 100-110 vehicles","500 killed, missing or wounded 300 horses several guns 1 tankette",,,Georg-Hans Reinhardt       Friedrich Kirchner,Julian Filipowicz,,"September 1, 1939","Mokra, Kielce Voivodeship, Poland",Polish victory,,,,,,100,Battle of Mokra,German Invasion of Poland,,https://en.wikipedia.org/wiki/Battle_of_Mokra
Germany,Poland,,"1,800 killed 3,000 wounded 1,000 missing 72 tanks destroyed","1,200 killed 1,500 wounded",,,Georg von Küchler,Wilhelm Liszka-Lawicz       Emil Krukowicz-Przedrzymirski,,1–3 September 1939,"Near Mława, Warsaw Voivodeship, Poland",German victory,,,,,,100,Battle of Mlawa,German Invasion of Poland,,https://en.wikipedia.org/wiki/Battle_of_Mlawa
Germany,Poland,,"506 killed 
 
743 wounded","1600 killed
 750 wounded
 
Unknown number captured",,,Günther von Kluge   Heinz Guderian   Adolf Strauss,Władysław Bortnowski   Stanisław Grzmot-Skotnicki   Józef Werobej   Juliusz Drapella,,1–5 September 1939,"Near Tuchola Forest, Pomeranian Voivodeship, Poland",German victory,,,,,,100,Battle of Tuchola Forest,German Invasion of Poland,,https://en.wikipedia.org/wiki/Battle_of_Tuchola_Forest
Poland,Germany,,3+ tanks,70+ tanks and AFVs,,,Stanisław Maczek  Jan Wójcik,Eugen Beyer [1],,1–3 September 1939,"Jordanów, Kraków Voivodeship, Poland",Pyrrhic German victory,"5,000 soldiers   58 tanks and AFVs   16 field guns    armoured train  No.51 ""Pierwszy Marszałek"" [2]","3/109 heavy artillery [1]    50,000 soldiers   498 tanks and AFVs   128 field guns [2]",,,,100,Battle of Jordanów,German Invasion of Poland,,https://en.wikipedia.org/wiki/Battle_of_Jordan%C3%B3w
Germany,Poland,,650 killed 540 wounded,663 casualties [1],,,Erich Hoepner,Ludwik Czyżewski,,2–6 September 1939,"Near Bełchatów, Poland",German victory,XVI Panzer Corps,2nd Legions' Infantry Regiment,,,,100,Battle of Borowa Góra,German Invasion of Poland,,https://en.wikipedia.org/wiki/Battle_of_Borowa_G%C3%B3ra
Germany,Poland,,"~ 900
 10 tanks destroyed
 
1 aircraft destroyed","~ 660 
 
40 captured",,,Heinz Guderian       Ferdinand Schaal,Władysław Raginis   †     Stanisław Brykalski   †,,"September 7–10, 1939","Wizna, near Łomża, Poland",German victory,"42,200 infantry 350 tanks  657 artillery pieces",350-720 infantry [1] 6  76 mm guns 42 MGs 2  anti-tank rifles,,,,100,Battle of Wizna,German Invasion of Poland,,https://en.wikipedia.org/wiki/Battle_of_Wizna
Poland,Germany,,2 tanks [1] : 60,"17 Panzers, 2 self propelled guns, 14 armoured cars [1] : 60",,,Edmund Karpow,Erich Hoepner,,4-6 September 1939,"Piotrków Trybunalski, Poland",Polish defensive victory: Polish forces are ordered to withdraw,,,,,,100,Battle of Piotrków Trybunalski,German Invasion of Poland,,https://en.wikipedia.org/wiki/Battle_of_Piotrk%C3%B3w_Trybunalski
Germany,Poland,,"Luftwaffe : 46–53 aircraft    Heer : unknown    Kriegsmarine :   2 destroyers damaged,   1  pre-dreadnought  lightly damaged",Unknown human losses 1 destroyer sunk 1 minelayer sunk,,,Friedrich-Georg Eberhardt,Józef Unrug   Włodzimierz Steyer   Adam Mohuczy,,9 September – 2 October 1939,"Hel Peninsula, Pomeranian Voivodeship, Poland",German victory,"38,000 infantry [Note 1] 2 pre-dreadnoughts 2 destroyers","2,800 46 guns 1 destroyer 1 minelayer 1  patrol boat",,,,100,Battle of Hel,German Invasion of Poland,,https://en.wikipedia.org/wiki/Battle_of_Hel
Germany,Poland,,"8,000 dead [2]    4,000 captured   50 tanks   100 cars   20 artillery pieces","18,000 [2] –20,000 [1]  dead 32,000 wounded [2]    170,000 captured [2]",,,Gerd von Rundstedt [1]       Johannes Blaskowitz       Walther von Reichenau       Günther von Kluge      Wilhelm Ulex      Erich Hoepner,Tadeusz Kutrzeba [1]       Władysław Bortnowski       Edmund Knoll-Kownacki       Mikołaj Bołtuć       Roman Abraham      Leon Strzelecki,,9–19 September[1] 1939,"Near Kutno, Łódź Voivodeship, Poland52°14′00″N 19°22′00″E﻿ / ﻿52.23333°N 19.36667°E﻿ / 52.23333; 19.36667Coordinates: 52°14′00″N 19°22′00″E﻿ / ﻿52.23333°N 19.36667°E﻿ / 52.23333; 19.36667","German victory 

Destruction of Armies Poznań and Pomorze","12 infantry divisions   5 armoured and motorized divisions   425,000 soldiers [1]","8 infantry divisions   2–4 cavalry brigades   225,000 soldiers [1]",,,,100,Battle of the Bzura,German Invasion of Poland,,https://en.wikipedia.org/wiki/Battle_of_the_Bzura
Nazi Germany,Polish Republic,,"7,500 killed 13,000 wounded","140,000 killed or captured [1] : 78",,,Johannes Blaskowitz   Georg von Küchler   Werner von Fritsch   †   Walter Petzel,Juliusz Zulauf   Juliusz Rómmel   Marian Porwit   Tadeusz Kutrzeba,,8-28 September 1939,"Warsaw, Poland52°13′48″N 21°00′39″E﻿ / ﻿52.23000°N 21.01083°E﻿ / 52.23000; 21.01083Coordinates: 52°13′48″N 21°00′39″E﻿ / ﻿52.23000°N 21.01083°E﻿ / 52.23000; 21.01083","Decisive German victory

German occupation of Warsaw until 1945.","175,000 soldiers","124,000 soldiers  (excluding volunteers)",,,,100,Siege of Warsaw,German Invasion of Poland,,https://en.wikipedia.org/wiki/Siege_of_Warsaw_(1939)
Germany     Soviet Union,Poland,,"German 1st Mountain Division: 484 killed (including 116 from Gebirgsjäger-Regiment 99.)   918 wounded   608 sick
  Soviet: 24th Armoured Brigade: 4 KIA and 8 WIA on 22 September
 
 Total:  488+ killed   926+ wounded   608+ sick",Unknown,,,Ferdinand Schörner     Filipp Golikov,Władysław Langner   Franciszek Sikorski,,"September 12–22, 1939","Lwów, Lwów Voivodeship, Poland","German–Soviet victory

Polish handed the city over to the Soviets","German:   1st Mountain Division, 2nd Mountain Division, part of 7th Infantry Division, part of 5th Panzer Division     Soviet:   6th Army",11 infantry battalions   5 batteries of artillery (mainly 75 mm guns)   2 armoured trains   1 cavalry unit   1 engineering platoon and a small number of soldiers who had retreated into the city from elsewhere,,,,100,Battle of Lwów,German Invasion of Poland,,https://en.wikipedia.org/wiki/Battle_of_Lw%C3%B3w_(1939)
Germany,Poland,,"929 killed, 1174 injured and 36 tanks destroyed",870 killed and 700 injured,,,Leonard Wecker       Wilhelm List       Walther von Reichenau       Ewald von Kleist       Ernst Busch,"First Phase:       Antoni Szylling       Tadeusz Piskor 
 
 Second Phase:       Stefan Dąb-Biernacki       Emil Krukowicz-Przedrzymirski       Władysław Anders      Jan Kruszewski",,"September 17–26, 1939","Near Tomaszów Lubelski, Poland50°27′00″N 23°25′00″E﻿ / ﻿50.45000°N 23.41667°E﻿ / 50.45000; 23.41667Coordinates: 50°27′00″N 23°25′00″E﻿ / ﻿50.45000°N 23.41667°E﻿ / 50.45000; 23.41667",German victory,3 infantry divisions   + 2 panzer divisions,First Phase:    4 infantry divions   1 cavarly divion and 1 mechanized divions,,,,100,Battle of Tomaszów Lubelski,German Invasion of Poland,,https://en.wikipedia.org/wiki/Battle_of_Tomasz%C3%B3w_Lubelski
