,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,vehicle_type,x_coordinate_state_plane,y_coordinate_state_plane
0,ADDRESS,DOHMH,Department of Health and Mental Hygiene,5051130008,STATEN ISLAND,,,,STATEN ISLAND,,03 STATEN ISLAND,Standing Water,2019-07-23T00:00:00.000,KEEGANS LANE,FIELDWAY AVENUE,Swimming Pool - Unmaintained,,36 KEATS STREET,10308,KEEGANS LANE,FIELDWAY AVENUE,KEATS STREET,40.55181280948121,"{'type': 'Point', 'coordinates': [-74.142527610463, 40.551812809481]}",1-2 Family Dwelling,-74.14252761046275,PHONE,STATEN ISLAND,Unspecified,2019-07-23T00:00:00.000,The Department of Health and Mental Hygiene is in receipt of your complaint and will review to determine appropriate action.,,Open,KEATS STREET,,,43365063,,944642,140349
1,ADDRESS,DOHMH,Department of Health and Mental Hygiene,5031220048,STATEN ISLAND,,,,STATEN ISLAND,,02 STATEN ISLAND,Standing Water,2019-07-23T00:00:00.000,ROBIN ROAD,OCEANSIDE AVENUE,Container - Over 5 Gallons,,165 ARTHUR AVENUE,10305,ROBIN ROAD,OCEANSIDE AVENUE,ARTHUR AVENUE,40.59268859456635,"{'type': 'Point', 'coordinates': [-74.067231460421, 40.592688594566]}",1-2 Family Dwelling,-74.0672314604209,PHONE,STATEN ISLAND,Unspecified,2019-07-23T00:00:00.000,,,Open,ARTHUR AVENUE,,,43364649,,965578,155216
2,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4009690030,QUEENS,,,,East Elmhurst,,01 QUEENS,Standing Water,2019-07-23T00:00:00.000,21 AVENUE,DITMARS BOULEVARD,Container - Over 5 Gallons,,21-58 74 STREET,11370,21 AVENUE,DITMARS BOULEVARD,74 STREET,40.769160615664866,"{'type': 'Point', 'coordinates': [-73.895430612634, 40.769160615665]}",1-2 Family Dwelling,-73.89543061263429,PHONE,QUEENS,Unspecified,2019-07-23T00:00:00.000,The Department of Health and Mental Hygiene is in receipt of your complaint and will review to determine appropriate action.,,Open,74 STREET,,,43363856,,1013215,219520
3,,DOHMH,Department of Health and Mental Hygiene,4159800002,QUEENS,,,,FAR ROCKAWAY,,Unspecified QUEENS,Standing Water,2019-07-23T00:00:00.000,BEACH 51 STREET,BEACH 54 STREET,Other - Explain Below,,ROCKAWAY COMMUNITY PARK,11691,BEACH   51 STREET,BEACH   54 STREET,ROCKAWAY COMMUNITY PARK,40.60291404127727,"{'type': 'Point', 'coordinates': [-73.78135244601, 40.602914041277]}",Other,-73.78135244601039,ONLINE,QUEENS,Unspecified,2019-07-23T00:00:00.000,The Department of Health and Mental Hygiene is in receipt of your complaint and will review to determine appropriate action.,,Open,ROCKAWAY COMMUNITY PARK,,,43363980,,1044965,159010
4,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3016640075,BROOKLYN,,,,BROOKLYN,,03 BROOKLYN,Standing Water,2019-07-23T00:00:00.000,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,Other - Explain Below,,365 MACON STREET,11233,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,MACON STREET,40.68256071924761,"{'type': 'Point', 'coordinates': [-73.936831479208, 40.682560719248]}",Other,-73.93683147920777,PHONE,BROOKLYN,Unspecified,2019-07-23T00:00:00.000,,,Open,MACON STREET,,,43363974,,1001770,187958
5,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4155160107,QUEENS,,,,Far Rockaway,,14 QUEENS,Standing Water,2019-07-23T00:00:00.000,DINSMORE AVENUE,DINSMORE AVENUE,Puddle in Ground,,1096 BEACH   12 STREET,11691,DINSMORE AVENUE,DINSMORE AVENUE,BEACH   12 STREET,40.605012512737076,"{'type': 'Point', 'coordinates': [-73.747255346185, 40.605012512737]}",3+ Family Apartment Building,-73.74725534618456,PHONE,QUEENS,Unspecified,2019-07-23T00:00:00.000,The Department of Health and Mental Hygiene is in receipt of your complaint and will review to determine appropriate action.,,Open,BEACH   12 STREET,,,43364351,,1054431,159800
6,,DOHMH,Department of Health and Mental Hygiene,,QUEENS,,,,,,Unspecified QUEENS,Standing Water,2019-07-23T00:00:00.000,46 AVENUE,167 STREET,Puddle in Ground,,46 AVENUE,11358,46 AVENUE,167 STREET,,40.75378219704458,"{'type': 'Point', 'coordinates': [-73.80016740162, 40.753782197045]}",Other,-73.80016740162009,PHONE,QUEENS,Unspecified,2019-07-23T00:00:00.000,,,Open,46 AVENUE,,,43363665,,1039615,213963
7,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4142250266,QUEENS,,,,Howard Beach,,10 QUEENS,Standing Water,2019-07-23T00:00:00.000,160 AVENUE,161 AVENUE,Swimming Pool - Unmaintained,,160-15 99 STREET,11414,160 AVENUE,161 AVENUE,99 STREET,40.657886680471854,"{'type': 'Point', 'coordinates': [-73.833753710474, 40.657886680472]}",1-2 Family Dwelling,-73.83375371047383,PHONE,QUEENS,Unspecified,2019-07-23T00:00:00.000,The Department of Health and Mental Hygiene is in receipt of your complaint and will review to determine appropriate action.,,Open,99 STREET,,,43362995,,1030376,179006
8,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1005280040,MANHATTAN,,,,NEW YORK,,02 MANHATTAN,Standing Water,2019-07-23T00:00:00.000,BEND,DOWNING STREET,Puddle in Ground,,23 BEDFORD STREET,10014,BEND,DOWNING STREET,BEDFORD STREET,40.729153906417295,"{'type': 'Point', 'coordinates': [-74.003557517396, 40.729153906417]}",Other,-74.00355751739563,PHONE,MANHATTAN,Unspecified,2019-07-23T00:00:00.000,,,Open,BEDFORD STREET,,,43361396,,983264,204927
9,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3045190001,BROOKLYN,,,,BROOKLYN,,05 BROOKLYN,Standing Water,2019-07-23T00:00:00.000,AMBER STREET,SAPPHIRE STREET,Other - Explain Below,,1452 LORING AVENUE,11208,AMBER STREET,SAPPHIRE STREET,LORING AVENUE,40.668497035938614,"{'type': 'Point', 'coordinates': [-73.857576318575, 40.668497035939]}",Other,-73.85757631857518,PHONE,BROOKLYN,Unspecified,2019-07-23T00:00:00.000,The Department of Health and Mental Hygiene is in receipt of your complaint and will review to determine appropriate action.,,Open,LORING AVENUE,,,43361071,,1023760,182860
