,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,vehicle_type,x_coordinate_state_plane,y_coordinate_state_plane
0,INTERSECTION,DEP,Department of Environmental Protection,,BRONX,,,,BRONX,2019-07-10T06:10:00.000,09 BRONX,Water System,2019-07-10T00:00:00.000,BRONX RIVER AVE,E 180 ST,Hydrant Running Full (WA4),,,10460,BRONX RIVER AVENUE,EAST 180 STREET,,40.83924616670244,"{'type': 'Point', 'coordinates': [-73.870094704307, 40.839246166702]}",,-73.87009470430702,UNKNOWN,BRONX,Unspecified,2019-07-10T06:10:00.000,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",,Closed,,,,43246830,,1020195,245064
1,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4046250047,QUEENS,,,,Whitestone,2019-07-18T00:00:00.000,07 QUEENS,Standing Water,2019-07-10T00:00:00.000,15 AVENUE,17 AVENUE,Other - Explain Below,,15-11 145 PLACE,11357,15 AVENUE,17 AVENUE,145 PLACE,40.78579810000857,"{'type': 'Point', 'coordinates': [-73.820918236421, 40.785798100009]}",Other,-73.82091823642064,PHONE,QUEENS,Unspecified,2019-07-18T00:00:00.000,The Department of Health and Mental Hygiene issued a Notice of Violation to the property owner.,,Closed,145 PLACE,,,43247006,,1033842,225615
2,,DOHMH,Department of Health and Mental Hygiene,,MANHATTAN,,,,,2019-07-18T00:00:00.000,Unspecified MANHATTAN,Standing Water,2019-07-10T00:00:00.000,EAST 86 STREET,YORK AVENUE,Other - Explain Below,,EAST 86 STREET,10028,EAST   86 STREET,YORK AVENUE,,40.77592877982616,"{'type': 'Point', 'coordinates': [-73.947123284757, 40.775928779826]}",Other,-73.9471232847572,PHONE,MANHATTAN,Unspecified,2019-07-18T00:00:00.000,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,,Closed,EAST 86 STREET,,,43246931,,998895,221973
3,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4107540022,QUEENS,,,,Bellerose,2019-07-18T00:00:00.000,13 QUEENS,Standing Water,2019-07-10T00:00:00.000,92 ROAD,DAVENPORT AVENUE,Puddle in Ground,,92-30 GETTYSBURG STREET,11426,92 ROAD,DAVENPORT AVENUE,GETTYSBURG STREET,40.72638343532144,"{'type': 'Point', 'coordinates': [-73.731107902961, 40.726383435321]}",1-2 Family Dwelling,-73.73110790296117,PHONE,QUEENS,Unspecified,2019-07-18T00:00:00.000,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,,Closed,GETTYSBURG STREET,,,43245744,,1058779,204032
4,ADDRESS,DOHMH,Department of Health and Mental Hygiene,2029620001,BRONX,,,,BRONX,2019-07-18T00:00:00.000,03 BRONX,Standing Water,2019-07-10T00:00:00.000,UNION AVENUE,CROTONA AVENUE,Other - Explain Below,,1354 BOSTON ROAD,10456,UNION AVENUE,CROTONA AVENUE,BOSTON ROAD,40.83226205110089,"{'type': 'Point', 'coordinates': [-73.898648745283, 40.832262051101]}",Other,-73.89864874528324,PHONE,BRONX,Unspecified,2019-07-18T00:00:00.000,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,,Closed,BOSTON ROAD,,,43244681,,1012297,242509
5,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4063020012,QUEENS,,,,Bayside,2019-07-18T00:00:00.000,11 QUEENS,Standing Water,2019-07-10T00:00:00.000,40 AVENUE,DEAD END,Other - Explain Below,,40-14 215 PLACE,11361,40 AVENUE,DEAD END,215 PLACE,40.764587870538854,"{'type': 'Point', 'coordinates': [-73.767746416191, 40.764587870539]}",Other,-73.76774641619122,PHONE,QUEENS,Unspecified,2019-07-18T00:00:00.000,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,,Closed,215 PLACE,,,43244672,,1048587,217922
6,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4072510066,QUEENS,,,,Jamaica,2019-07-18T00:00:00.000,08 QUEENS,Standing Water,2019-07-10T00:00:00.000,KENT STREET,CHEVY CHASE STREET,Puddle in Ground,,184-41 ABERDEEN ROAD,11432,KENT STREET,CHEVY CHASE STREET,ABERDEEN ROAD,40.72413661775539,"{'type': 'Point', 'coordinates': [-73.78376879394, 40.724136617755]}",Other,-73.78376879394045,PHONE,QUEENS,Unspecified,2019-07-18T00:00:00.000,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,,Closed,ABERDEEN ROAD,,,43244485,,1044185,203173
7,,NYPD,New York City Police Department,5028400168,STATEN ISLAND,,,,STATEN ISLAND,2019-07-10T02:47:38.000,01 STATEN ISLAND,Noise - Vehicle,2019-07-10T00:00:07.000,FLOWER COURT,TOMPKINS AVENUE,Engine Idling,,131 GREENFIELD AVENUE,10304,FLOWER COURT,TOMPKINS AVENUE,GREENFIELD AVENUE,40.618054541622485,"{'type': 'Point', 'coordinates': [-74.074079245926, 40.618054541622]}",Street/Sidewalk,-74.07407924592623,PHONE,STATEN ISLAND,Unspecified,2019-07-10T06:47:38.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,GREENFIELD AVENUE,,,43235845,,963684,164459
8,,NYPD,New York City Police Department,2025160147,BRONX,,,,BRONX,2019-07-10T03:41:23.000,04 BRONX,Noise - Residential,2019-07-10T00:00:18.000,WEST  167 STREET,WEST  168 STREET,Loud Music/Party,,1193 NELSON AVENUE,10452,WEST  167 STREET,WEST  168 STREET,NELSON AVENUE,40.83745907955441,"{'type': 'Point', 'coordinates': [-73.925546352689, 40.837459079554]}",Residential Building/House,-73.92554635268857,ONLINE,BRONX,Unspecified,2019-07-10T07:41:23.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,NELSON AVENUE,,,43234124,,1004852,244395
9,,NYPD,New York City Police Department,3020320029,BROOKLYN,,,,BROOKLYN,2019-07-10T03:26:03.000,02 BROOKLYN,Noise - Commercial,2019-07-10T00:00:21.000,ADELPHI STREET,CLERMONT AVENUE,Car/Truck Horn,,128 FLUSHING AVENUE,11205,ADELPHI STREET,CLERMONT AVENUE,FLUSHING AVENUE,40.69788222248441,"{'type': 'Point', 'coordinates': [-73.971957119495, 40.697882222484]}",Store/Commercial,-73.97195711949455,MOBILE,BROOKLYN,Unspecified,2019-07-10T07:26:03.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,FLUSHING AVENUE,,,43237460,,992026,193535
10,,NYPD,New York City Police Department,1020700036,MANHATTAN,,,,NEW YORK,2019-07-10T02:06:06.000,09 MANHATTAN,Noise - Residential,2019-07-10T00:01:00.000,AMSTERDAM AVENUE,HAMILTON PLACE,Loud Music/Party,,500 WEST  139 STREET,10031,AMSTERDAM AVENUE,HAMILTON PLACE,WEST  139 STREET,40.82154771788221,"{'type': 'Point', 'coordinates': [-73.950642267319, 40.821547717882]}",Residential Building/House,-73.95064226731913,PHONE,MANHATTAN,Unspecified,2019-07-10T06:06:06.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,WEST  139 STREET,,,43237475,,997911,238593
11,,NYPD,New York City Police Department,2027130002,BRONX,,,,BRONX,2019-07-10T07:16:25.000,02 BRONX,Noise - Residential,2019-07-10T00:01:23.000,EAST  163 STREET,WESTCHESTER AVENUE,Loud Television,,970 KELLY STREET,10459,EAST  163 STREET,WESTCHESTER AVENUE,KELLY STREET,40.82176651514893,"{'type': 'Point', 'coordinates': [-73.895861000916, 40.821766515149]}",Residential Building/House,-73.89586100091599,MOBILE,BRONX,Unspecified,2019-07-10T11:16:25.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,KELLY STREET,,,43237488,,1013073,238686
12,,NYPD,New York City Police Department,4014210001,QUEENS,,,,EAST ELMHURST,,03 QUEENS,Illegal Parking,2019-07-10T00:01:24.000,32 AVENUE,NORTHERN BOULEVARD,Blocked Hydrant,,32-45 91 STREET,11369,32 AVENUE,NORTHERN BOULEVARD,91 STREET,40.75757626693012,"{'type': 'Point', 'coordinates': [-73.877195191102, 40.75757626693]}",Street/Sidewalk,-73.87719519110179,ONLINE,QUEENS,Unspecified,2019-07-10T07:00:02.000,The Police Department responded to the complaint and with the information available observed no evid,,In Progress,91 STREET,,,43242524,,1018272,215306
