,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,vehicle_type,x_coordinate_state_plane,y_coordinate_state_plane
0,INTERSECTION,DOT,Department of Transportation,,BRONX,,,,,2019-07-09T00:55:00.000,Unspecified BRONX,Traffic Signal Condition,2019-07-09T00:00:00.000,OGDEN AVE,170 ST W,Controller,N/A,,,OGDEN AVE,170 ST W,,,,,,UNKNOWN,BRONX,Unspecified,2019-07-09T00:55:00.000,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",,Closed,,,,43243189,,,
1,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4101730120,QUEENS,,,,Jamaica,2019-07-18T00:00:00.000,12 QUEENS,Standing Water,2019-07-09T00:00:00.000,164 PLACE,167 STREET,Tires,,164-09 108 DRIVE,11433,164 PLACE,167 STREET,108 DRIVE,40.69646751593317,"{'type': 'Point', 'coordinates': [-73.788705361036, 40.696467515933]}",3+ Family Apartment Building,-73.78870536103554,PHONE,QUEENS,Unspecified,2019-07-18T00:00:00.000,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,,Closed,108 DRIVE,,,43244026,,1042841,193089
2,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3002590001,BROOKLYN,,,,BROOKLYN,2019-07-18T00:00:00.000,02 BROOKLYN,Standing Water,2019-07-09T00:00:00.000,COLUMBIA PLACE,WILLOW PLACE,Other - Explain Below,,27 STATE STREET,11201,COLUMBIA PLACE,WILLOW PLACE,STATE STREET,40.69217102331271,"{'type': 'Point', 'coordinates': [-73.998608072981, 40.692171023313]}",Other,-73.99860807298133,PHONE,BROOKLYN,Unspecified,2019-07-18T00:00:00.000,"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your complaint with contact information.",,Closed,STATE STREET,,,43244025,,984636,191453
3,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3003650004,BROOKLYN,,,,BROOKLYN,2019-07-18T00:00:00.000,06 BROOKLYN,Standing Water,2019-07-09T00:00:00.000,HENRY STREET,CLINTON STREET,Other - Explain Below,,2 2 PLACE,11231,HENRY STREET,CLINTON STREET,2 PLACE,40.68048379343578,"{'type': 'Point', 'coordinates': [-74.000847268195, 40.680483793436]}",Other,-74.00084726819503,PHONE,BROOKLYN,Unspecified,2019-07-18T00:00:00.000,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,,Closed,2 PLACE,,,43244024,,984015,187195
4,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4023940040,QUEENS,,,,Maspeth,2019-07-18T00:00:00.000,05 QUEENS,Standing Water,2019-07-09T00:00:00.000,CLINTON AVENUE,PERRY AVENUE,Building Foundation,,56-22 68 STREET,11378,CLINTON AVENUE,PERRY AVENUE,68 STREET,40.72626390678408,"{'type': 'Point', 'coordinates': [-73.896533384176, 40.726263906784]}",Other,-73.8965333841765,PHONE,QUEENS,Unspecified,2019-07-18T00:00:00.000,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,,Closed,68 STREET,,,43242391,,1012928,203891
5,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4026420006,QUEENS,,,,Maspeth,2019-07-18T00:00:00.000,05 QUEENS,Standing Water,2019-07-09T00:00:00.000,ARNOLD AVENUE,ANDREWS AVENUE,Swimming Pool - Unmaintained,,61-13 55 STREET,11378,ARNOLD AVENUE,ANDREWS AVENUE,55 STREET,40.71415100706727,"{'type': 'Point', 'coordinates': [-73.909227957891, 40.714151007067]}",3+ Family Apartment Building,-73.90922795789143,ONLINE,QUEENS,Unspecified,2019-07-18T00:00:00.000,The Department of Health and Mental Hygiene issued a Notice of Violation to the property owner.,,Closed,55 STREET,,,43242365,,1009414,199474
6,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4051370093,QUEENS,,,,Flushing,2019-07-18T00:00:00.000,07 QUEENS,Standing Water,2019-07-09T00:00:00.000,ASH AVENUE,BEECH AVENUE,Swimming Pool - Unmaintained,,43-44 KISSENA BOULEVARD,11355,ASH AVENUE,BEECH AVENUE,KISSENA BOULEVARD,40.75456158754533,"{'type': 'Point', 'coordinates': [-73.823626256667, 40.754561587545]}",3+ Family Mixed Use Building,-73.8236262566666,ONLINE,QUEENS,Unspecified,2019-07-18T00:00:00.000,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,,Closed,KISSENA BOULEVARD,,,43240651,,1033115,214233
7,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4017800026,QUEENS,,,,Corona,2019-07-18T00:00:00.000,03 QUEENS,Standing Water,2019-07-09T00:00:00.000,108 STREET,111 STREET,Other - Explain Below,,108-58 39 AVENUE,11368,108 STREET,111 STREET,39 AVENUE,40.752066630803675,"{'type': 'Point', 'coordinates': [-73.857336289414, 40.752066630804]}",Other,-73.85733628941436,PHONE,QUEENS,Unspecified,2019-07-18T00:00:00.000,"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your complaint with contact information.",,Closed,39 AVENUE,,,43240626,,1023777,213307
8,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4069010042,QUEENS,,,,Fresh Meadows,2019-07-18T00:00:00.000,08 QUEENS,Standing Water,2019-07-09T00:00:00.000,HORACE HARDING EXPRESSWAY,65 AVENUE,Other - Explain Below,,61-20 FRESH MDOW LANE,11365,HORACE HARDING EXPRESSWAY,65 AVENUE,FRESH MEADOW LANE,40.73759426511903,"{'type': 'Point', 'coordinates': [-73.795838845567, 40.737594265119]}",Other,-73.79583884556659,PHONE,QUEENS,Unspecified,2019-07-18T00:00:00.000,The Department of Health and Mental Hygiene issued a Notice of Violation to the property owner.,,Closed,FRESH MDOW LANE,,,43233875,,1040828,208068
9,,NYPD,New York City Police Department,,BRONX,,,,,2019-07-09T17:51:28.000,04 BRONX,Illegal Fireworks,2019-07-09T00:00:38.000,GRAND CONCOURSE,MARCY PLACE,N/A,,GRAND CONCOURSE,10456,GRAND CONCOURSE,MARCY PLACE,,40.83751475042063,"{'type': 'Point', 'coordinates': [-73.914773230782, 40.837514750421]}",Street/Sidewalk,-73.91477323078212,ONLINE,BRONX,Unspecified,2019-07-09T21:51:28.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,GRAND CONCOURSE,,,43226290,,1007833,244418
