,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,vehicle_type,x_coordinate_state_plane,y_coordinate_state_plane
0,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4082370016,QUEENS,,,,Little Neck,2019-07-18T00:00:00.000,11 QUEENS,Standing Water,2019-07-16T00:00:00.000,MARATHON PARKWAY,MORENCI LANE,Swimming Pool - Unmaintained,,249-23 51 AVENUE,11362,MARATHON PARKWAY,MORENCI LANE,51 AVENUE,40.763048146442365,"{'type': 'Point', 'coordinates': [-73.733544557242, 40.763048146442]}",1-2 Family Dwelling,-73.73354455724228,ONLINE,QUEENS,Unspecified,2019-07-18T00:00:00.000,,,Closed,51 AVENUE,,,43298473,,1058063,217388
1,,NYPD,New York City Police Department,3014090021,BROOKLYN,,,,BROOKLYN,2019-07-16T07:11:02.000,09 BROOKLYN,Blocked Driveway,2019-07-16T00:00:10.000,UTICA AVENUE,ROCHESTER AVENUE,No Access,,1716 PRESIDENT STREET,11213,UTICA AVENUE,ROCHESTER AVENUE,PRESIDENT STREET,40.66694453670311,"{'type': 'Point', 'coordinates': [-73.930091124701, 40.666944536703]}",,-73.93009112470068,PHONE,BROOKLYN,Unspecified,2019-07-16T11:12:12.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,PRESIDENT STREET,,,43284693,,1003644,182270
2,ADDRESS,HPD,Department of Housing Preservation and Development,1020687502,MANHATTAN,,,,NEW YORK,2019-07-21T10:27:25.000,09 MANHATTAN,UNSANITARY CONDITION,2019-07-16T00:00:29.000,,,PESTS,,427 WEST  154 STREET,10032,,,,40.83040925930605,"{'type': 'Point', 'coordinates': [-73.942263165061, 40.830409259306]}",RESIDENTIAL BUILDING,-73.94226316506068,PHONE,MANHATTAN,Unspecified,2019-07-21T10:27:25.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,,Closed,WEST  154 STREET,,,43294310,,1000228,241823
3,ADDRESS,HPD,Department of Housing Preservation and Development,1012710007,MANHATTAN,,,,NEW YORK,,Unspecified MANHATTAN,UNSANITARY CONDITION,2019-07-16T00:00:29.000,,,GARBAGE/RECYCLING STORAGE,,57 WEST 55 STREET,10019,,,,40.76242070816173,"{'type': 'Point', 'coordinates': [-73.976684095507, 40.762420708162]}",RESIDENTIAL BUILDING,-73.97668409550673,ONLINE,MANHATTAN,Unspecified,2019-07-16T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,WEST 55 STREET,,,43297598,,990709,217048
4,,NYPD,New York City Police Department,3051650030,BROOKLYN,,,,BROOKLYN,2019-07-16T06:29:13.000,14 BROOKLYN,Noise - Residential,2019-07-16T00:00:39.000,CORTELYOU ROAD,CLARENDON ROAD,Banging/Pounding,,330 EAST   22 STREET,11226,CORTELYOU ROAD,CLARENDON ROAD,EAST   22 STREET,40.64318773823103,"{'type': 'Point', 'coordinates': [-73.956481961924, 40.643187738231]}",,-73.95648196192444,PHONE,BROOKLYN,Unspecified,2019-07-16T10:30:28.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,EAST   22 STREET,,,43292615,,996327,173610
5,,NYPD,New York City Police Department,,BRONX,,,,,2019-07-16T00:58:27.000,07 BRONX,Blocked Driveway,2019-07-16T00:00:54.000,GUN HILL ROAD,TRYON AVENUE,No Access,,GUN HILL ROAD,10467,GUN HILL ROAD,TRYON AVENUE,,40.88025935218736,"{'type': 'Point', 'coordinates': [-73.876780542599, 40.880259352187]}",Street/Sidewalk,-73.87678054259923,PHONE,BRONX,Unspecified,2019-07-16T04:59:17.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,GUN HILL ROAD,,,43284758,,1018324,260004
6,,NYPD,New York City Police Department,1021730015,MANHATTAN,,,,NEW YORK,2019-07-16T03:22:13.000,12 MANHATTAN,Noise - Street/Sidewalk,2019-07-16T00:00:57.000,SICKLES STREET,ARDEN STREET,Loud Talking,,129 NAGLE AVENUE,10040,SICKLES STREET,ARDEN STREET,NAGLE AVENUE,40.860839278581864,"{'type': 'Point', 'coordinates': [-73.926792719909, 40.860839278582]}",Street/Sidewalk,-73.92679271990852,MOBILE,MANHATTAN,Unspecified,2019-07-16T07:22:59.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,NAGLE AVENUE,,,43288648,,1004500,252913
7,,NYPD,New York City Police Department,4016610029,QUEENS,,,,EAST ELMHURST,2019-07-16T01:54:22.000,03 QUEENS,Blocked Driveway,2019-07-16T00:01:11.000,27 AVENUE,29 AVENUE,No Access,,27-46 GILMORE STREET,11369,27 AVENUE,29 AVENUE,GILLMORE STREET,40.76378978674132,"{'type': 'Point', 'coordinates': [-73.866787193793, 40.763789786741]}",,-73.86678719379277,PHONE,QUEENS,Unspecified,2019-07-16T05:55:22.000,The Police Department issued a summons in response to the complaint.,,Closed,GILMORE STREET,,,43292033,,1021152,217574
8,,NYPD,New York City Police Department,1010600004,MANHATTAN,,,,NEW YORK,2019-07-16T01:42:48.000,04 MANHATTAN,Noise - Residential,2019-07-16T00:01:17.000,WEST   50 STREET,WEST   51 STREET,Loud Music/Party,,740 10 AVENUE,10019,WEST   50 STREET,WEST   51 STREET,10 AVENUE,40.764961645993914,"{'type': 'Point', 'coordinates': [-73.991574330906, 40.764961645994]}",Residential Building/House,-73.99157433090589,PHONE,MANHATTAN,Unspecified,2019-07-16T05:43:01.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,10 AVENUE,,,43285151,,986584,217973
9,,NYPD,New York City Police Department,4012960022,QUEENS,,,,WOODSIDE,2019-07-16T14:00:18.000,02 QUEENS,Blocked Driveway,2019-07-16T00:01:21.000,ROOSEVELT AVENUE,TRIMBLE ROAD,Partial Access,,39-33A 64 STREET,11377,ROOSEVELT AVENUE,TRIMBLE ROAD,64 STREET,40.74531859615536,"{'type': 'Point', 'coordinates': [-73.900325624725, 40.745318596155]}",Street/Sidewalk,-73.90032562472528,MOBILE,QUEENS,Unspecified,2019-07-16T18:01:26.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,64 STREET,,,43288445,,1011869,210832
10,,NYPD,New York City Police Department,3053670025,BROOKLYN,,,,BROOKLYN,2019-07-16T08:42:55.000,12 BROOKLYN,Noise - Park,2019-07-16T00:01:39.000,CORTELYOU ROAD,38 STREET,Loud Music/Party,,384 DAHILL ROAD,11218,CORTELYOU ROAD,38 STREET,DAHILL ROAD,40.637660662904196,"{'type': 'Point', 'coordinates': [-73.97953448911, 40.637660662904]}",Park/Playground,-73.97953448910964,PHONE,BROOKLYN,Dome Playground,2019-07-16T14:33:01.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,DAHILL ROAD,,,43284012,,989930,171594
11,,TLC,Taxi and Limousine Commission,1011150057,MANHATTAN,,,,NEW YORK,2019-07-16T10:29:14.000,07 MANHATTAN,Lost Property,2019-07-16T00:01:45.000,BROADWAY,COLUMBUS AVENUE,Electronics/Phones,,44 WEST   63 STREET,10023,BROADWAY,COLUMBUS AVENUE,WEST   63 STREET,40.77149309411685,"{'type': 'Point', 'coordinates': [-73.982414113299, 40.771493094117]}",,-73.98241411329866,PHONE,MANHATTAN,Unspecified,2019-07-16T16:11:00.000,See notes for information.,,Closed,WEST   63 STREET,,"44 WEST   63 STREET, MANHATTAN (NEW YORK), NY, 10023",43286426,,989121,220353
12,,NYPD,New York City Police Department,3073960053,BROOKLYN,,,,BROOKLYN,2019-07-16T00:16:01.000,15 BROOKLYN,Noise - Street/Sidewalk,2019-07-16T00:01:49.000,LANCASTER AVENUE,CRAWFORD AVENUE,Loud Talking,,2355 EAST   12 STREET,11229,LANCASTER AVENUE,CRAWFORD AVENUE,EAST   12 STREET,40.592673556096635,"{'type': 'Point', 'coordinates': [-73.95915776368, 40.592673556097]}",Street/Sidewalk,-73.95915776367994,MOBILE,BROOKLYN,Unspecified,2019-07-16T00:15:00.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,EAST   12 STREET,,,43288767,,995593,155206
13,ADDRESS,DEP,Department of Environmental Protection,1015020001,MANHATTAN,,,,NEW YORK,2019-07-16T08:42:00.000,08 MANHATTAN,Noise,2019-07-16T00:02:00.000,5 AVE,MADISON AVE,Noise: Jack Hammering (NC2),N/A,2 EAST   91 STREET,10128,,,,40.78460657363493,"{'type': 'Point', 'coordinates': [-73.957866445206, 40.784606573635]}",,-73.95786644520645,UNKNOWN,MANHATTAN,Unspecified,2019-07-16T08:42:00.000,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,,Closed,EAST   91 STREET,,,43297638,,995918,225133
14,ADDRESS,DEP,Department of Environmental Protection,3023900028,BROOKLYN,,,,BROOKLYN,2019-07-16T21:21:00.000,01 BROOKLYN,Air Quality,2019-07-16T00:02:00.000,GRAND ST,S 1 ST,"Air: Odor/Fumes, Vehicle Idling (AD3)",N/A,326 WYTHE AVENUE,11249,,,,40.71515304531527,"{'type': 'Point', 'coordinates': [-73.964760559696, 40.715153045315]}",,-73.96476055969586,UNKNOWN,BROOKLYN,Unspecified,2019-07-16T21:21:00.000,,,Closed,WYTHE AVENUE,,,43296381,,994019,199828
15,INTERSECTION,DOT,Department of Transportation,,QUEENS,,,,East Elmhurst,,03 QUEENS,Street Light Condition,2019-07-16T00:02:00.000,25 AVE,GILLMORE ST,Street Light Cycling,,,11369,25 AVENUE,GILLMORE STREET,,40.76527907920233,"{'type': 'Point', 'coordinates': [-73.868213771418, 40.765279079202]}",,-73.86821377141808,UNKNOWN,QUEENS,Unspecified,,,,Open,,,,43286663,,1020756,218116
16,,DSNY,A - Bronx,,BRONX,,,,,2019-07-18T12:00:00.000,11 BRONX,Dirty Conditions,2019-07-16T00:02:00.000,GUN HILL ROAD,KNAPP STREET,E3 Dirty Sidewalk,N/A,GUN HILL ROAD,,,,,,,Sidewalk,,PHONE,BRONX,Unspecified,2019-07-18T12:00:00.000,The Department of Sanitation investigated this complaint and found no violation at the location.,,Closed,GUN HILL ROAD,,,43299939,,,
17,,DOT,Department of Transportation,4117960030,QUEENS,,,,SOUTH OZONE PARK,,10 QUEENS,Street Sign - Missing,2019-07-16T00:02:27.000,133 AVENUE,135 AVENUE,Street Cleaning - ASP,,133-35 135 PLACE,11420,133 AVENUE,135 AVENUE,135 PLACE,40.66878094941073,"{'type': 'Point', 'coordinates': [-73.802631795478, 40.668780949411]}",Street,-73.80263179547813,ONLINE,QUEENS,Unspecified,2019-07-16T15:29:20.000,The Department of Transportation inspected the condition and opened a repair order. Repairs of this,,In Progress,135 PLACE,,,43289329,,1039002,182993
18,,NYPD,New York City Police Department,1003480021,MANHATTAN,,,,NEW YORK,2019-07-16T01:27:27.000,03 MANHATTAN,Graffiti,2019-07-16T00:02:32.000,RIVINGTON STREET,DELANCEY STREET,Police Report Not Requested,,79 CLINTON STREET,10002,RIVINGTON STREET,DELANCEY STREET,CLINTON STREET,40.718832722593845,"{'type': 'Point', 'coordinates': [-73.985209368526, 40.718832722594]}",Store/Commercial,-73.98520936852573,PHONE,MANHATTAN,Unspecified,2019-07-16T05:28:12.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,CLINTON STREET,,,43287488,,988350,201167
19,,NYPD,New York City Police Department,2040200007,BRONX,,,,BRONX,2019-07-16T06:45:17.000,11 BRONX,Noise - Residential,2019-07-16T00:03:33.000,MELVILLE STREET,TAYLOR AVENUE,Loud Music/Party,,564 MORRIS PARK AVENUE,10460,MELVILLE STREET,TAYLOR AVENUE,MORRIS PARK AVENUE,40.843385698227834,"{'type': 'Point', 'coordinates': [-73.870545627793, 40.843385698228]}",Residential Building/House,-73.87054562779336,PHONE,BRONX,Unspecified,2019-07-16T10:45:32.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,MORRIS PARK AVENUE,,,43284930,,1020068,246572
20,,NYPD,New York City Police Department,3055960001,BROOKLYN,,,,BROOKLYN,2019-07-16T09:27:54.000,12 BROOKLYN,Noise - Park,2019-07-16T00:03:52.000,42 STREET,43 STREET,Loud Talking,,4201 10 AVENUE,11219,42 STREET,43 STREET,10 AVENUE,40.64284726347156,"{'type': 'Point', 'coordinates': [-73.994721073289, 40.642847263472]}",Park/Playground,-73.9947210732894,PHONE,BROOKLYN,Brizzi Playground,2019-07-16T14:41:23.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,10 AVENUE,,,43291120,,985715,173483
21,,NYPD,New York City Police Department,2028690041,BRONX,,,,BRONX,2019-07-16T06:17:21.000,05 BRONX,Blocked Driveway,2019-07-16T00:04:10.000,KINGSLAND PLACE,WEST  177 STREET,No Access,,75 WEST TREMONT AVENUE,10453,KINGSLAND PLACE,WEST  177 STREET,WEST TREMONT AVENUE,40.850948148188714,"{'type': 'Point', 'coordinates': [-73.912175166841, 40.850948148189]}",Street/Sidewalk,-73.91217516684146,MOBILE,BRONX,Unspecified,2019-07-16T10:17:57.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,WEST TREMONT AVENUE,,,43290487,,1008547,249313
22,,NYPD,New York City Police Department,1009010056,MANHATTAN,,,,NEW YORK,2019-07-16T02:54:48.000,06 MANHATTAN,Noise - Residential,2019-07-16T00:04:43.000,3 AVENUE,2 AVENUE,Loud Television,,202 EAST   21 STREET,10010,3 AVENUE,2 AVENUE,EAST   21 STREET,40.737384328147535,"{'type': 'Point', 'coordinates': [-73.983718558491, 40.737384328148]}",Residential Building/House,-73.9837185584909,ONLINE,MANHATTAN,Unspecified,2019-07-16T06:55:48.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,EAST   21 STREET,,,43291718,,988762,207926
23,,NYPD,New York City Police Department,1020500100,MANHATTAN,,,,NEW YORK,2019-07-16T01:24:57.000,09 MANHATTAN,Noise - Residential,2019-07-16T00:05:50.000,WEST  141 STREET,WEST  144 STREET,Loud Television,,19 HAMILTON TERRACE,10031,WEST  141 STREET,WEST  144 STREET,HAMILTON TERRACE,40.822358442746705,"{'type': 'Point', 'coordinates': [-73.946793731572, 40.822358442747]}",Residential Building/House,-73.94679373157203,PHONE,MANHATTAN,Unspecified,2019-07-16T05:25:11.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,HAMILTON TERRACE,,,43285313,,998976,238889
24,ADDRESS,DEP,Department of Environmental Protection,2024610130,BRONX,,,,BRONX,2019-07-16T22:00:00.000,04 BRONX,Water System,2019-07-16T00:06:00.000,E 164 ST,CARROLL PL,Hydrant Running Full (WA4),,1011 SHERIDAN AVENUE,10456,,,,40.829413000530494,"{'type': 'Point', 'coordinates': [-73.91948834363, 40.82941300053]}",,-73.9194883436301,UNKNOWN,BRONX,Unspecified,2019-07-16T22:00:00.000,"The status of this Service Request is currently not available online. Please call 311 for further assistance. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",,Closed,SHERIDAN AVENUE,,,43295634,,1006531,241465
25,,NYPD,New York City Police Department,3086780073,BROOKLYN,,,,BROOKLYN,2019-07-16T06:48:54.000,13 BROOKLYN,Noise - Residential,2019-07-16T00:06:05.000,BRIGHTON   10 STREET,BRIGHTON LINE,Loud Music/Party,,3160 CONEY ISLAND AVENUE,11235,BRIGHTON   10 STREET,BRIGHTON LINE,CONEY ISLAND AVENUE,40.57882073828569,"{'type': 'Point', 'coordinates': [-73.959709821006, 40.578820738286]}",Residential Building/House,-73.95970982100647,ONLINE,BROOKLYN,Unspecified,2019-07-16T10:49:31.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,CONEY ISLAND AVENUE,,,43290630,,995442,150159
26,,NYPD,New York City Police Department,,MANHATTAN,,,,,2019-07-16T03:19:56.000,10 MANHATTAN,Noise - Street/Sidewalk,2019-07-16T00:07:48.000,7 AVENUE,WEST  139 STREET,Loud Music/Party,,7 AVENUE,10030,7 AVENUE,WEST  139 STREET,,40.81784647999613,"{'type': 'Point', 'coordinates': [-73.941844136523, 40.817846479996]}",Street/Sidewalk,-73.94184413652282,PHONE,MANHATTAN,Unspecified,2019-07-16T07:20:53.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,7 AVENUE,,,43287676,,1000347,237246
27,,NYPD,New York City Police Department,3000680001,BROOKLYN,,,,BROOKLYN,2019-07-16T03:08:04.000,02 BROOKLYN,Noise - Residential,2019-07-16T00:07:54.000,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,Banging/Pounding,,177 SANDS STREET,11201,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,SANDS STREET,40.699800319891985,"{'type': 'Point', 'coordinates': [-73.983615937489, 40.699800319892]}",Residential Building/House,-73.98361593748928,ONLINE,BROOKLYN,Unspecified,2019-07-16T07:08:21.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,SANDS STREET,,,43290546,,988793,194233
28,,NYPD,New York City Police Department,1022220001,MANHATTAN,,,,NEW YORK,2019-07-16T05:57:06.000,12 MANHATTAN,Noise - Residential,2019-07-16T00:08:03.000,WEST  204 STREET,WEST  207 STREET,Loud Music/Party,,199 SHERMAN AVENUE,10034,WEST  204 STREET,WEST  207 STREET,SHERMAN AVENUE,40.865350610685894,"{'type': 'Point', 'coordinates': [-73.921180236389, 40.865350610686]}",Residential Building/House,-73.92118023638876,MOBILE,MANHATTAN,Unspecified,2019-07-16T09:57:21.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,SHERMAN AVENUE,,,43286427,,1006051,254558
29,ADDRESS,DHS,Department of Homeless Services,1007420020,MANHATTAN,,,,NEW YORK,2019-07-16T13:42:17.000,04 MANHATTAN,Homeless Person Assistance,2019-07-16T00:08:20.000,8 AVENUE,9 AVENUE,,,329 WEST   18 STREET,10011,8 AVENUE,9 AVENUE,WEST   18 STREET,40.74268009239484,"{'type': 'Point', 'coordinates': [-74.001692509526, 40.742680092395]}",N/A,-74.00169250952636,PHONE,MANHATTAN,Unspecified,2019-07-16T13:42:17.000,The mobile outreach response team went to the location provided but could not find the individual that you reported.,,Closed,WEST   18 STREET,,,43290208,,983781,209855
30,,NYPD,New York City Police Department,3056677501,BROOKLYN,,,,BROOKLYN,2019-07-16T04:49:17.000,12 BROOKLYN,Illegal Parking,2019-07-16T00:09:08.000,53 STREET,54 STREET,Commercial Overnight Parking,,5314 11 AVENUE,11219,53 STREET,54 STREET,11 AVENUE,40.635312942127996,"{'type': 'Point', 'coordinates': [-73.999005584113, 40.635312942128]}",Street/Sidewalk,-73.99900558411338,MOBILE,BROOKLYN,Unspecified,2019-07-16T08:50:32.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,11 AVENUE,,,43290933,,984526,170738
31,,NYPD,New York City Police Department,1007890030,MANHATTAN,,,,NEW YORK,2019-07-16T01:26:14.000,05 MANHATTAN,Noise - Residential,2019-07-16T00:09:14.000,7 AVENUE,8 AVENUE,Loud Music/Party,,217 WEST   39 STREET,10018,7 AVENUE,8 AVENUE,WEST   39 STREET,40.75445455732403,"{'type': 'Point', 'coordinates': [-73.989081564367, 40.754454557324]}",Residential Building/House,-73.98908156436669,PHONE,MANHATTAN,Unspecified,2019-07-16T05:26:31.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,WEST   39 STREET,,,43289606,,987275,214145
32,,NYPD,New York City Police Department,1020250023,MANHATTAN,,,,NEW YORK,2019-07-16T02:00:21.000,10 MANHATTAN,Noise - Residential,2019-07-16T00:09:22.000,ADAM CLAYTON POWELL JR BOULEVARD,PEDESTRIAN PATH,Loud Music/Party,,217 WEST  139 STREET,10030,ADAM CLAYTON POWELL JR BOULEVARD,PEDESTRIAN PATH,WEST  139 STREET,40.81822294048531,"{'type': 'Point', 'coordinates': [-73.94271089384, 40.818222940485]}",Residential Building/House,-73.94271089383963,PHONE,MANHATTAN,Unspecified,2019-07-16T06:01:38.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,WEST  139 STREET,,,43291649,,1000107,237383
33,,NYPD,New York City Police Department,2032040065,BRONX,,,,BRONX,2019-07-16T02:56:50.000,07 BRONX,Noise - Street/Sidewalk,2019-07-16T00:09:33.000,WEST  190 STREET,WEST  192 STREET,Loud Music/Party,,2501 DAVIDSON AVENUE,10468,WEST  190 STREET,WEST  192 STREET,DAVIDSON AVENUE,40.86445948684704,"{'type': 'Point', 'coordinates': [-73.900982205985, 40.864459486847]}",Street/Sidewalk,-73.90098220598483,MOBILE,BRONX,Unspecified,2019-07-16T06:57:53.000,The Police Department issued a summons in response to the complaint.,,Closed,DAVIDSON AVENUE,,,43285885,,1011638,254239
34,INTERSECTION,DOT,Department of Transportation,,MANHATTAN,,,,,2019-07-16T01:40:00.000,Unspecified MANHATTAN,Traffic Signal Condition,2019-07-16T00:10:00.000,BROADWAY,130 ST W,Street Light Feed,N/A,,,BROADWAY,130 ST W,,,,,,UNKNOWN,MANHATTAN,Unspecified,2019-07-16T01:40:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Assigned,,,,43295194,,,
35,,NYPD,New York City Police Department,3011530038,BROOKLYN,,,,BROOKLYN,2019-07-16T03:02:41.000,08 BROOKLYN,Noise - Commercial,2019-07-16T00:10:02.000,ST MARKS AVENUE,PROSPECT PLACE,Loud Music/Party,,706 WASHINGTON AVENUE,11238,ST MARKS AVENUE,PROSPECT PLACE,WASHINGTON AVENUE,40.676890621301084,"{'type': 'Point', 'coordinates': [-73.9636054815, 40.676890621301]}",Store/Commercial,-73.96360548150025,MOBILE,BROOKLYN,Unspecified,2019-07-16T07:04:10.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,WASHINGTON AVENUE,,,43289763,,994345,185888
36,,NYPD,New York City Police Department,1019330050,MANHATTAN,,,,NEW YORK,2019-07-16T02:33:06.000,10 MANHATTAN,Noise - Residential,2019-07-16T00:10:03.000,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,Banging/Pounding,,200 WEST  131 STREET,10027,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,WEST  131 STREET,40.81281181632886,"{'type': 'Point', 'coordinates': [-73.945739269275, 40.812811816329]}",Residential Building/House,-73.94573926927536,ONLINE,MANHATTAN,Unspecified,2019-07-16T06:33:30.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,WEST  131 STREET,,,43291632,,999270,235411
37,,NYPD,New York City Police Department,3011740064,BROOKLYN,,,,BROOKLYN,2019-07-16T03:03:53.000,08 BROOKLYN,Noise - Street/Sidewalk,2019-07-16T00:10:15.000,WASHINGTON AVENUE,CLASSON AVENUE,Loud Music/Party,,459 ST JOHNS PLACE,11238,WASHINGTON AVENUE,CLASSON AVENUE,ST JOHNS PLACE,40.67349771630093,"{'type': 'Point', 'coordinates': [-73.962475356936, 40.673497716301]}",Street/Sidewalk,-73.96247535693556,ONLINE,BROOKLYN,Unspecified,2019-07-16T07:04:10.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,ST JOHNS PLACE,,,43291710,,994659,184652
38,,NYPD,New York City Police Department,2055040003,BRONX,,,,BRONX,2019-07-16T14:37:38.000,10 BRONX,Illegal Parking,2019-07-16T00:10:15.000,SCHURZ AVENUE,HARDING AVENUE,Overnight Commercial Storage,,163 MEAGHER AVENUE,10465,SCHURZ AVENUE,HARDING AVENUE,MEAGHER AVENUE,40.81645583078912,"{'type': 'Point', 'coordinates': [-73.810048004803, 40.816455830789]}",Street/Sidewalk,-73.81004800480287,PHONE,BRONX,Unspecified,2019-07-16T18:39:08.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,MEAGHER AVENUE,,,43287522,,1036828,236791
39,,NYPD,New York City Police Department,1020240042,MANHATTAN,,,,NEW YORK,2019-07-16T01:59:32.000,10 MANHATTAN,Noise - Residential,2019-07-16T00:10:17.000,ADAM CLAYTON POWELL JR BOULEVARD,PEDESTRIAN PATH,Loud Music/Party,,218 WEST  139 STREET,10030,ADAM CLAYTON POWELL JR BOULEVARD,PEDESTRIAN PATH,WEST  139 STREET,40.818209222278554,"{'type': 'Point', 'coordinates': [-73.942721744226, 40.818209222279]}",Residential Building/House,-73.94272174422566,ONLINE,MANHATTAN,Unspecified,2019-07-16T06:00:09.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,WEST  139 STREET,,,43284134,,1000104,237378
40,,DPR,Department of Parks and Recreation,3062740001,BROOKLYN,,,,BROOKLYN,,11 BROOKLYN,New Tree Request,2019-07-16T00:10:17.000,19 AVENUE,20 AVENUE,For One Address,,1903 80 STREET,11214,19 AVENUE,20 AVENUE,80 STREET,40.60912209737024,"{'type': 'Point', 'coordinates': [-73.996553323725, 40.60912209737]}",Street,-73.99655332372527,MOBILE,BROOKLYN,Unspecified,,,,In Progress,80 STREET,,,43284023,,985207,161196
41,,NYPD,New York City Police Department,,BROOKLYN,,,,,2019-07-16T03:33:04.000,04 BROOKLYN,Noise - Residential,2019-07-16T00:10:58.000,BUSHWICK AVENUE,GRANITE STREET,Loud Music/Party,,BUSHWICK AVENUE,11207,BUSHWICK AVENUE,GRANITE STREET,,40.68322951461715,"{'type': 'Point', 'coordinates': [-73.907124748284, 40.683229514617]}",Residential Building/House,-73.90712474828433,PHONE,BROOKLYN,Unspecified,2019-07-16T07:33:32.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,BUSHWICK AVENUE,,,43288608,,1010009,188209
42,,NYPD,New York City Police Department,3053220020,BROOKLYN,,,,BROOKLYN,2019-07-16T06:24:13.000,07 BROOKLYN,Noise - Residential,2019-07-16T00:11:13.000,BEND,CATON PLACE,Loud Music/Party,,316 CONEY ISLAND AVENUE,11218,BEND,CATON PLACE,CONEY ISLAND AVENUE,40.65014783382136,"{'type': 'Point', 'coordinates': [-73.971948353198, 40.650147833821]}",Residential Building/House,-73.97194835319803,ONLINE,BROOKLYN,Unspecified,2019-07-16T10:24:30.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,CONEY ISLAND AVENUE,,,43287179,,992034,176144
