,address_type,agency,agency_name,bbl,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,status,street_name,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
0,,NYPD,New York City Police Department,1020240031,MANHATTAN,NEW YORK,,10 MANHATTAN,Blocked Driveway,2019-07-24T00:00:00.000,WEST  138 STREET,WEST  139 STREET,No Access,,2368 7 AVENUE,10030,WEST  138 STREET,WEST  139 STREET,7 AVENUE,40.817487060031596,"{'type': 'Point', 'coordinates': [-73.942119024906, 40.817487060032]}",Street/Sidewalk,-73.94211902490574,PHONE,MANHATTAN,Unspecified,,,In Progress,7 AVENUE,,43357228,1000271,237115
1,ADDRESS,HPD,Department of Housing Preservation and Development,4126240052,QUEENS,Saint Albans,,12 QUEENS,WATER LEAK,2019-07-24T00:00:06.000,,,HEAVY FLOW,,118-31 199 STREET,11412,,,,40.69251446377858,"{'type': 'Point', 'coordinates': [-73.752606808451, 40.692514463779]}",RESIDENTIAL BUILDING,-73.7526068084515,PHONE,QUEENS,Unspecified,2019-07-24T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,Open,199 STREET,,43361208,1052855,191675
2,,NYPD,New York City Police Department,2026400001,BRONX,BRONX,,03 BRONX,Noise - Street/Sidewalk,2019-07-24T00:00:20.000,TRINITY AVENUE,TINTON AVENUE,Loud Music/Party,,765 EAST  165 STREET,10456,TRINITY AVENUE,TINTON AVENUE,EAST  165 STREET,40.824835843684674,"{'type': 'Point', 'coordinates': [-73.902995920536, 40.824835843685]}",Street/Sidewalk,-73.90299592053647,MOBILE,BRONX,Unspecified,,,In Progress,EAST  165 STREET,,43359095,1011097,239802
3,,NYPD,New York City Police Department,2031600014,BRONX,BRONX,,05 BRONX,Noise - Residential,2019-07-24T00:00:34.000,EAST BURNSIDE AVENUE,EAST  180 STREET,Banging/Pounding,,2076 CRESTON AVENUE,10453,EAST BURNSIDE AVENUE,EAST  180 STREET,CRESTON AVENUE,40.85368904676198,"{'type': 'Point', 'coordinates': [-73.903955136249, 40.853689046762]}",Residential Building/House,-73.90395513624917,ONLINE,BRONX,Unspecified,,,In Progress,CRESTON AVENUE,,43364632,1010820,250314
4,,NYPD,New York City Police Department,3000680001,BROOKLYN,BROOKLYN,,02 BROOKLYN,Noise - Residential,2019-07-24T00:00:58.000,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,Banging/Pounding,,177 SANDS STREET,11201,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,SANDS STREET,40.699800319891985,"{'type': 'Point', 'coordinates': [-73.983615937489, 40.699800319892]}",Residential Building/House,-73.98361593748928,ONLINE,BROOKLYN,Unspecified,,,In Progress,SANDS STREET,,43364040,988793,194233
5,,NYPD,New York City Police Department,4092290008,QUEENS,RICHMOND HILL,,09 QUEENS,Illegal Parking,2019-07-24T00:01:29.000,115 STREET,116 STREET,Commercial Overnight Parking,,115-24 MYRTLE AVENUE,11418,115 STREET,116 STREET,MYRTLE AVENUE,40.700302861752384,"{'type': 'Point', 'coordinates': [-73.83453152516, 40.700302861752]}",Street/Sidewalk,-73.8345315251598,MOBILE,QUEENS,Unspecified,,,In Progress,MYRTLE AVENUE,,43363897,1030131,194459
6,,NYPD,New York City Police Department,3013990034,BROOKLYN,BROOKLYN,,08 BROOKLYN,Noise - Residential,2019-07-24T00:01:54.000,PORTAL STREET,RALPH AVENUE,Banging/Pounding,,1360 EASTERN PARKWAY,11233,PORTAL STREET,RALPH AVENUE,EASTERN PARKWAY,40.66839779830249,"{'type': 'Point', 'coordinates': [-73.923467685804, 40.668397798302]}",Residential Building/House,-73.92346768580417,ONLINE,BROOKLYN,Unspecified,,,In Progress,EASTERN PARKWAY,,43361659,1005481,182801
7,,NYPD,New York City Police Department,1001400029,MANHATTAN,NEW YORK,,01 MANHATTAN,Drug Activity,2019-07-24T00:02:39.000,HUDSON STREET,GREENWICH STREET,Use Indoor,,135 READE STREET,10013,HUDSON STREET,GREENWICH STREET,READE STREET,40.71638494142861,"{'type': 'Point', 'coordinates': [-74.009660452761, 40.716384941429]}",Other,-74.0096604527606,ONLINE,MANHATTAN,Unspecified,,,In Progress,READE STREET,,43359474,981572,200275
8,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,BROOKLYN,,02 BROOKLYN,Traffic Signal Condition,2019-07-24T00:03:00.000,,,Controller,N/A,,11201,HENRY STREET,JORALEMON STREET,,40.69314806434407,"{'type': 'Point', 'coordinates': [-73.995081304984, 40.693148064344]}",,-73.99508130498434,UNKNOWN,BROOKLYN,Unspecified,,,Open,,,43360079,985614,191809
9,,NYPD,New York City Police Department,1019330050,MANHATTAN,NEW YORK,,10 MANHATTAN,Noise - Residential,2019-07-24T00:03:15.000,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,Banging/Pounding,,200 WEST  131 STREET,10027,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,WEST  131 STREET,40.81281181632886,"{'type': 'Point', 'coordinates': [-73.945739269275, 40.812811816329]}",Residential Building/House,-73.94573926927536,ONLINE,MANHATTAN,Unspecified,,,In Progress,WEST  131 STREET,,43356882,999270,235411
10,,NYPD,New York City Police Department,3012730025,BROOKLYN,BROOKLYN,,09 BROOKLYN,Noise - Street/Sidewalk,2019-07-24T00:04:19.000,FRANKLIN AVENUE,BEDFORD AVENUE,Loud Talking,,1060 UNION STREET,11225,FRANKLIN AVENUE,BEDFORD AVENUE,UNION STREET,40.6694746414481,"{'type': 'Point', 'coordinates': [-73.956836105418, 40.669474641448]}",Street/Sidewalk,-73.95683610541815,MOBILE,BROOKLYN,Unspecified,,,In Progress,UNION STREET,,43359956,996224,183187
11,,NYPD,New York City Police Department,4099010016,QUEENS,HOLLIS,2019-07-24T01:25:43.000,12 QUEENS,Noise - Residential,2019-07-24T00:04:33.000,90 AVENUE,91 AVENUE,Loud Music/Party,,90-23 182 STREET,11423,90 AVENUE,91 AVENUE,182 STREET,40.710800349196994,"{'type': 'Point', 'coordinates': [-73.779721664287, 40.710800349197]}",Residential Building/House,-73.77972166428677,PHONE,QUEENS,Unspecified,2019-07-24T05:25:46.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,182 STREET,,43359900,1045319,198317
12,,NYPD,New York City Police Department,2054140254,BRONX,BRONX,,10 BRONX,Noise - Commercial,2019-07-24T00:04:46.000,BAY VIEW AVENUE,OUTLOOK AVENUE,Loud Music/Party,,3318 GRISWOLD AVENUE,10465,BAY VIEW AVENUE,OUTLOOK AVENUE,GRISWOLD AVENUE,40.84494427797076,"{'type': 'Point', 'coordinates': [-73.815742336636, 40.844944277971]}",Store/Commercial,-73.81574233663599,MOBILE,BRONX,Unspecified,,,In Progress,GRISWOLD AVENUE,,43364148,1035230,247167
13,,NYPD,New York City Police Department,2028050010,BRONX,BRONX,,05 BRONX,Blocked Driveway,2019-07-24T00:04:50.000,MORRIS AVENUE,GRAND CONCOURSE,No Access,,106 MT HOPE PLACE,10453,MORRIS AVENUE,GRAND CONCOURSE,MT HOPE PLACE,40.84877931521459,"{'type': 'Point', 'coordinates': [-73.907992415838, 40.848779315215]}",Street/Sidewalk,-73.90799241583848,PHONE,BRONX,Unspecified,,,In Progress,MT HOPE PLACE,,43361797,1009705,248524
14,,NYPD,New York City Police Department,5035857501,STATEN ISLAND,STATEN ISLAND,2019-07-24T01:00:39.000,02 STATEN ISLAND,Illegal Parking,2019-07-24T00:04:55.000,SOUTH RAILROAD AVENUE,EDISON STREET,Blocked Hydrant,,100 COLFAX AVENUE,10306,SOUTH RAILROAD AVENUE,EDISON STREET,COLFAX AVENUE,40.57990536198665,"{'type': 'Point', 'coordinates': [-74.107779442435, 40.579905361987]}",Street/Sidewalk,-74.10777944243459,ONLINE,STATEN ISLAND,Unspecified,2019-07-24T05:00:45.000,The Police Department issued a summons in response to the complaint.,Closed,COLFAX AVENUE,,43360906,954311,150570
15,,DCA,Department of Consumer Affairs,1008150014,MANHATTAN,NEW YORK,,05 MANHATTAN,Consumer Complaint,2019-07-24T00:05:40.000,WEST   39 STREET,WEST   40 STREET,Ticket Broker,,1412 BROADWAY,10018,WEST   39 STREET,WEST   40 STREET,BROADWAY,40.753710520207974,"{'type': 'Point', 'coordinates': [-73.987046007326, 40.753710520208]}",Commercial Building,-73.98704600732566,ONLINE,MANHATTAN,Unspecified,,,In Progress,BROADWAY,,43355002,987839,213874
16,,NYPD,New York City Police Department,3063670011,BROOKLYN,BROOKLYN,2019-07-24T01:11:16.000,11 BROOKLYN,Noise - Residential,2019-07-24T00:06:06.000,86 STREET,BENSON AVENUE,Loud Music/Party,,8675 BAY   16 STREET,11214,86 STREET,BENSON AVENUE,BAY   16 STREET,40.60681090060609,"{'type': 'Point', 'coordinates': [-74.005484959504, 40.606810900606]}",Residential Building/House,-74.00548495950392,ONLINE,BROOKLYN,Unspecified,2019-07-24T05:11:21.000,The Police Department responded to the complaint and determined that police action was not necessary,Closed,BAY   16 STREET,,43362620,982727,160354
17,,NYPD,New York City Police Department,3073080062,BROOKLYN,BROOKLYN,,15 BROOKLYN,Noise - Residential,2019-07-24T00:06:51.000,AVENUE S,AVENUE T,Loud Talking,,1963 EAST   29 STREET,11229,AVENUE S,AVENUE T,EAST   29 STREET,40.603453968054744,"{'type': 'Point', 'coordinates': [-73.943471381294, 40.603453968055]}",Residential Building/House,-73.94347138129446,MOBILE,BROOKLYN,Unspecified,,,In Progress,EAST   29 STREET,,43359052,999947,159136
