,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,vehicle_type,x_coordinate_state_plane,y_coordinate_state_plane
0,INTERSECTION,DEP,Department of Environmental Protection,,QUEENS,,,,Jamaica,2019-07-22T00:00:00.000,12 QUEENS,Water System,2019-07-22T00:00:00.000,INWOOD ST,109 AVE,Fire Hydrant Emergency (FHE),,,11435,INWOOD STREET,109 AVENUE,,40.689159812691464,"{'type': 'Point', 'coordinates': [-73.801972898969, 40.689159812691]}",,-73.80197289896917,UNKNOWN,QUEENS,Unspecified,2019-07-22T00:00:00.000,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,,Closed,,,,43348887,,1039168,190418
1,ADDRESS,DEP,Department of Environmental Protection,2028470025,BRONX,,,,BRONX,2019-07-22T00:00:00.000,04 BRONX,Water System,2019-07-22T00:00:00.000,E MT EDEN AVE,CROSS BRONX EP NB EN JEROME AVE,Fire Hydrant Emergency (FHE),,1591 TOWNSEND AVENUE,10452,,,,40.844238479321234,"{'type': 'Point', 'coordinates': [-73.913683948707, 40.844238479321]}",,-73.91368394870703,UNKNOWN,BRONX,Unspecified,2019-07-22T00:00:00.000,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,,Closed,TOWNSEND AVENUE,,,43348902,,1008132,246868
2,ADDRESS,DEP,Department of Environmental Protection,4099500057,QUEENS,,,,Jamaica,,08 QUEENS,Water System,2019-07-22T00:00:00.000,183 ST,184 ST,Dirty Water (WE),,183-11 HILLSIDE AVENUE,11432,,,,40.713899948554555,"{'type': 'Point', 'coordinates': [-73.778683364221, 40.713899948555]}",,-73.7786833642214,UNKNOWN,QUEENS,Unspecified,,,,Open,HILLSIDE AVENUE,,,43347530,,1045604,199447
3,ADDRESS,DEP,Department of Environmental Protection,2024610007,BRONX,,,,BRONX,2019-07-22T00:00:00.000,04 BRONX,Water System,2019-07-22T00:00:00.000,E 162 ST,E 163 ST,Fire Hydrant Emergency (FHE),,930 GRAND CONCOURSE,10451,,,,40.82834692303825,"{'type': 'Point', 'coordinates': [-73.92183835009, 40.828346923038]}",,-73.92183835008971,UNKNOWN,BRONX,Unspecified,2019-07-22T00:00:00.000,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,,Closed,GRAND CONCOURSE,,,43350081,,1005881,241076
4,INTERSECTION,DEP,Department of Environmental Protection,,QUEENS,,,,Saint Albans,2019-07-22T05:10:00.000,12 QUEENS,Water System,2019-07-22T00:00:00.000,115 RD,FARMERS BLVD,Fire Hydrant Emergency (FHE),,,11412,115 ROAD,FARMERS BOULEVARD,,40.69515778529247,"{'type': 'Point', 'coordinates': [-73.761760364424, 40.695157785292]}",,-73.76176036442405,UNKNOWN,QUEENS,Unspecified,2019-07-22T05:10:00.000,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,,Closed,,,,43346527,,1050314,192631
5,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1009057502,MANHATTAN,,,,NEW YORK,,06 MANHATTAN,Standing Water,2019-07-22T00:00:00.000,3 AVENUE,2 AVENUE,Building Foundation,,225 EAST   24 STREET,10010,3 AVENUE,2 AVENUE,EAST   24 STREET,40.73898142602491,"{'type': 'Point', 'coordinates': [-73.98141951419, 40.738981426025]}",Abandoned Building,-73.98141951418975,PHONE,MANHATTAN,Unspecified,2019-07-23T00:00:00.000,,,Open,EAST   24 STREET,,,43354234,,989399,208508
6,,DOHMH,Department of Health and Mental Hygiene,,STATEN ISLAND,,,,,2019-07-23T00:00:00.000,01 STATEN ISLAND,Standing Water,2019-07-22T00:00:00.000,MURRAY HULBERT AVENUE,VICTORY BOULEVARD,Other - Explain Below,,MURRAY HULBERT AVENUE,10301,MURRAY HULBERT AVENUE,VICTORY BOULEVARD,,40.63786116734624,"{'type': 'Point', 'coordinates': [-74.073740924305, 40.637861167346]}",Other,-74.07374092430464,PHONE,STATEN ISLAND,Unspecified,2019-07-23T00:00:00.000,,,Closed,MURRAY HULBERT AVENUE,,,43353111,,963784,171675
7,,TLC,Taxi and Limousine Commission,3024340028,BROOKLYN,,,,BROOKLYN,,01 BROOKLYN,For Hire Vehicle Complaint,2019-07-22T00:01:00.000,BEND,MARCY AVENUE,Driver Complaint - Non Passenger,,253 SOUTH    4 STREET,11211,BEND,MARCY AVENUE,SOUTH    4 STREET,40.71005368953565,"{'type': 'Point', 'coordinates': [-73.95782339464, 40.710053689536]}",,-73.95782339463959,ONLINE,BROOKLYN,Unspecified,2019-07-23T17:22:04.000,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC represe",,In Progress,SOUTH    4 STREET,,"253 SOUTH    4 STREET, BROOKLYN, NY, 11211",43340553,,995943,197971
8,,NYPD,New York City Police Department,2027570010,BRONX,,,,BRONX,2019-07-22T03:05:06.000,02 BRONX,Noise - Street/Sidewalk,2019-07-22T00:01:12.000,BRYANT AVENUE,EAST  167 STREET,Loud Music/Party,,1240 WESTCHESTER AVENUE,10459,BRYANT AVENUE,EAST  167 STREET,WESTCHESTER AVENUE,40.82653795665661,"{'type': 'Point', 'coordinates': [-73.888261962663, 40.826537956657]}",Street/Sidewalk,-73.8882619626628,PHONE,BRONX,Unspecified,2019-07-22T07:05:13.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,WESTCHESTER AVENUE,,,43339189,,1015174,240427
9,,DOB,Department of Buildings,,BRONX,,,,,2019-07-22T00:01:45.000,Unspecified BRONX,Elevator,2019-07-22T00:01:45.000,,,Elevator - Single Device On Property/No Alternate Service,,232 EAST 169 STREET,,,,,,,,,UNKNOWN,BRONX,Unspecified,2019-07-22T00:00:00.000,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,,Open,EAST 169 STREET,,,43348260,,,
10,,NYPD,New York City Police Department,4093820024,QUEENS,,,,OZONE PARK,2019-07-22T13:40:44.000,09 QUEENS,Noise - Residential,2019-07-22T00:01:46.000,102 STREET,103 STREET,Loud Music/Party,,102-15 97 AVENUE,11416,102 STREET,103 STREET,97 AVENUE,40.687497161222474,"{'type': 'Point', 'coordinates': [-73.841381836486, 40.687497161222]}",Residential Building/House,-73.84138183648552,ONLINE,QUEENS,Unspecified,2019-07-22T17:40:46.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,97 AVENUE,,,43339187,,1028240,189790
11,,NYPD,New York City Police Department,3046920012,BROOKLYN,,,,BROOKLYN,2019-07-22T10:19:33.000,17 BROOKLYN,Noise - Street/Sidewalk,2019-07-22T00:02:20.000,EAST   95 STREET,EAST   96 STREET,Loud Music/Party,,1116 WILLMOHR STREET,11212,EAST   95 STREET,EAST   96 STREET,WILLMOHR STREET,40.65721413605621,"{'type': 'Point', 'coordinates': [-73.917432768314, 40.657214136056]}",Street/Sidewalk,-73.91743276831419,MOBILE,BROOKLYN,Unspecified,2019-07-22T14:19:36.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,WILLMOHR STREET,,,43339121,,1007159,178728
12,,NYPD,New York City Police Department,3037850015,BROOKLYN,,,,BROOKLYN,2019-07-22T06:20:25.000,05 BROOKLYN,Noise - Residential,2019-07-22T00:02:45.000,BLAKE AVENUE,DUMONT AVENUE,Banging/Pounding,,390 GEORGIA AVENUE,11207,BLAKE AVENUE,DUMONT AVENUE,GEORGIA AVENUE,40.66704006664458,"{'type': 'Point', 'coordinates': [-73.896585601273, 40.667040066645]}",Residential Building/House,-73.89658560127295,PHONE,BROOKLYN,Unspecified,2019-07-22T10:20:28.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,GEORGIA AVENUE,,,43338609,,1012939,182314
13,,NYPD,New York City Police Department,2033050023,BRONX,,,,BRONX,2019-07-22T03:41:26.000,07 BRONX,Noise - Street/Sidewalk,2019-07-22T00:02:48.000,MINERVA PLACE,EAST  199 STREET,Loud Music/Party,,2888 GRAND CONCOURSE,10458,MINERVA PLACE,EAST  199 STREET,GRAND CONCOURSE,40.8708773620356,"{'type': 'Point', 'coordinates': [-73.889727752988, 40.870877362036]}",Street/Sidewalk,-73.8897277529882,MOBILE,BRONX,Unspecified,2019-07-22T07:41:30.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,GRAND CONCOURSE,,,43340616,,1014748,256581
14,ADDRESS,DEP,Department of Environmental Protection,2033320072,BRONX,,,,BRONX,2019-07-22T00:03:00.000,07 BRONX,Water System,2019-07-22T00:03:00.000,E MOSHOLU PKWY N,E 204 ST,Fire Hydrant Emergency (FHE),,3055 DECATUR AVENUE,10467,,,,40.87094088147063,"{'type': 'Point', 'coordinates': [-73.879155264089, 40.870940881471]}",,-73.87915526408855,UNKNOWN,BRONX,Unspecified,2019-07-22T00:03:00.000,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,,Closed,DECATUR AVENUE,,,43351346,,1017672,256608
15,ADDRESS,DEP,Department of Environmental Protection,5069770037,STATEN ISLAND,,,,STATEN ISLAND,,03 STATEN ISLAND,Water System,2019-07-22T00:03:00.000,AMBOY RD,SAGONA CT,Leak (Use Comments) (WA2),,88 MAGUIRE AVENUE,10309,,,,40.52721636220837,"{'type': 'Point', 'coordinates': [-74.210468242017, 40.527216362208]}",,-74.21046824201746,UNKNOWN,STATEN ISLAND,Unspecified,,,,Open,MAGUIRE AVENUE,,,43352508,,925740,131426
16,ADDRESS,DEP,Department of Environmental Protection,2046410010,BRONX,,,,BRONX,2019-07-22T00:03:00.000,12 BRONX,Water System,2019-07-22T00:03:00.000,E 211 ST,E 213 ST,Fire Hydrant Emergency (FHE),,3534 BRONX BOULEVARD,10467,,,,40.879160635019176,"{'type': 'Point', 'coordinates': [-73.86855578314, 40.879160635019]}",,-73.86855578314018,UNKNOWN,BRONX,Unspecified,2019-07-22T00:03:00.000,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,,Closed,BRONX BOULEVARD,,,43345452,,1020599,259607
17,,NYPD,New York City Police Department,3016570047,BROOKLYN,,,,BROOKLYN,2019-07-22T16:42:38.000,03 BROOKLYN,Blocked Driveway,2019-07-22T00:03:04.000,JEFFERSON AVENUE,HANCOCK STREET,No Access,,168 PATCHEN AVENUE,11221,JEFFERSON AVENUE,HANCOCK STREET,PATCHEN AVENUE,40.68560409889544,"{'type': 'Point', 'coordinates': [-73.926613720285, 40.685604098895]}",,-73.92661372028456,PHONE,BROOKLYN,Unspecified,2019-07-22T20:42:39.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,PATCHEN AVENUE,,,43339823,,1004603,189069
18,,NYPD,New York City Police Department,2029660097,BRONX,,,,BRONX,,03 BRONX,Noise - Residential,2019-07-22T00:05:18.000,CHARLOTTE STREET,EAST  172 STREET,Loud Music/Party,,1550 BOSTON ROAD,10460,CHARLOTTE STREET,EAST  172 STREET,BOSTON ROAD,40.835698064588904,"{'type': 'Point', 'coordinates': [-73.892189245667, 40.835698064589]}",Residential Building/House,-73.89218924566735,MOBILE,BRONX,Unspecified,,,,In Progress,BOSTON ROAD,,,43338622,,1014083,243763
19,,NYPD,New York City Police Department,3077170027,BROOKLYN,,,,BROOKLYN,2019-07-22T06:46:18.000,18 BROOKLYN,Noise - Residential,2019-07-22T00:05:28.000,QUENTIN ROAD,AVENUE R,Loud Talking,,1755 EAST   34 STREET,11234,QUENTIN ROAD,AVENUE R,EAST   34 STREET,40.61304394052828,"{'type': 'Point', 'coordinates': [-73.937505957666, 40.613043940528]}",Residential Building/House,-73.9375059576664,MOBILE,BROOKLYN,Unspecified,2019-07-22T10:46:20.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,EAST   34 STREET,,,43342597,,1001601,162631
