,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,vehicle_type,x_coordinate_state_plane,y_coordinate_state_plane
0,ADDRESS,DEP,Department of Environmental Protection,1000687501,MANHATTAN,,,,NEW YORK,2019-07-19T01:45:00.000,01 MANHATTAN,Noise,2019-07-18T00:00:00.000,WILLIAM ST,GOLD ST,Noise: Construction Before/After Hours (NM1),N/A,80 JOHN STREET,10038,,,,40.708444544658676,"{'type': 'Point', 'coordinates': [-74.006885589069, 40.708444544659]}",,-74.00688558906863,UNKNOWN,MANHATTAN,Unspecified,2019-07-19T01:45:00.000,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",,Closed,JOHN STREET,,,43319522,,982341,197382
1,ADDRESS,DEP,Department of Environmental Protection,,BRONX,,,,BRONX,2019-07-18T00:00:00.000,07 BRONX,Water System,2019-07-18T00:00:00.000,VAN CORTLANDT AVE E,E 208 ST,Fire Hydrant Emergency (FHE),,3260 ROCHAMBEAU AVENUE,10467,,,,40.877035725670154,"{'type': 'Point', 'coordinates': [-73.880713555742, 40.87703572567]}",,-73.88071355574193,UNKNOWN,BRONX,Unspecified,,,,Open,ROCHAMBEAU AVENUE,,,43315971,,1017238,258828
2,ADDRESS,DOHMH,Department of Health and Mental Hygiene,5053570045,STATEN ISLAND,,,,STATEN ISLAND,,03 STATEN ISLAND,Standing Water,2019-07-18T00:00:00.000,EDWIN STREET,SYCAMORE STREET,Puddle in Ground,,1383 ARDEN AVENUE,10312,EDWIN STREET,SYCAMORE STREET,ARDEN AVENUE,40.53748992332265,"{'type': 'Point', 'coordinates': [-74.167270744141, 40.537489923323]}",Other,-74.16727074414054,PHONE,STATEN ISLAND,Unspecified,2019-07-18T00:00:00.000,,,Open,ARDEN AVENUE,,,43320366,,937756,135143
3,ADDRESS,DOHMH,Department of Health and Mental Hygiene,5052980047,STATEN ISLAND,,,,STATEN ISLAND,,03 STATEN ISLAND,Standing Water,2019-07-18T00:00:00.000,NELSON AVENUE,WIMAN AVENUE,Other - Explain Below,,21 SWEETWATER AVENUE,10308,NELSON AVENUE,WIMAN AVENUE,SWEETWATER AVENUE,40.541213963753506,"{'type': 'Point', 'coordinates': [-74.145606384766, 40.541213963754]}",Other,-74.14560638476644,ONLINE,STATEN ISLAND,Unspecified,2019-07-18T00:00:00.000,,,Open,SWEETWATER AVENUE,,,43319922,,943780,136489
4,,DOHMH,Department of Health and Mental Hygiene,3020910003,BROOKLYN,,,,BROOKLYN,,Unspecified BROOKLYN,Standing Water,2019-07-18T00:00:00.000,WILLOUGHBY AVENUE,DEKALB AVENUE,Puddle in Ground,,PARHAM PLAYGROUND,11205,WILLOUGHBY AVENUE,DEKALB AVENUE,PARHAM PLAYGROUND,40.690410678248114,"{'type': 'Point', 'coordinates': [-73.970813574981, 40.690410678248]}",Public Garden/Park,-73.97081357498075,ONLINE,BROOKLYN,Unspecified,2019-07-18T00:00:00.000,The Department of Health and Mental Hygiene is in receipt of your complaint and will review to determine appropriate action.,,Open,PARHAM PLAYGROUND,,,43318602,,992344,190813
5,ADDRESS,DOHMH,Department of Health and Mental Hygiene,2044730037,BRONX,,,,BRONX,,11 BRONX,Standing Water,2019-07-18T00:00:00.000,WARING AVENUE,MACE AVENUE,Puddle in Ground,,2461 FENTON AVENUE,10469,WARING AVENUE,MACE AVENUE,FENTON AVENUE,40.86199829504773,"{'type': 'Point', 'coordinates': [-73.844479656946, 40.861998295048]}",1-2 Family Dwelling,-73.84447965694618,PHONE,BRONX,Unspecified,2019-07-18T00:00:00.000,The Department of Health and Mental Hygiene is in receipt of your complaint and will review to determine appropriate action.,,Open,FENTON AVENUE,,,43316826,,1027268,253365
6,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4007920062,QUEENS,,,,Astoria,,01 QUEENS,Standing Water,2019-07-18T00:00:00.000,23 AVENUE,23 ROAD,Swimming Pool - Unmaintained,,23-10 42 STREET,11105,23 AVENUE,23 ROAD,42 STREET,40.76987321229279,"{'type': 'Point', 'coordinates': [-73.907029188903, 40.769873212293]}",1-2 Family Dwelling,-73.90702918890342,PHONE,QUEENS,Unspecified,2019-07-18T00:00:00.000,,,Open,42 STREET,,,43317032,,1010002,219776
7,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3047140030,BROOKLYN,,,,BROOKLYN,,17 BROOKLYN,Standing Water,2019-07-18T00:00:00.000,CHURCH AVENUE,AVENUE A,Other - Explain Below,,549 EAST   93 STREET,11236,CHURCH AVENUE,AVENUE A,EAST   93 STREET,40.65366491264928,"{'type': 'Point', 'coordinates': [-73.917127221314, 40.653664912649]}",Other,-73.91712722131358,PHONE,BROOKLYN,Unspecified,2019-07-18T00:00:00.000,,,Open,EAST   93 STREET,,,43315627,,1007245,177435
8,,NYPD,New York City Police Department,2044630220,BRONX,,,,BRONX,2019-07-18T03:10:05.000,11 BRONX,Illegal Parking,2019-07-18T00:00:35.000,BEND,BEND,Blocked Hydrant,,20 GABRIEL DRIVE,10469,BEND,BEND,GABRIEL DRIVE,40.86388912085075,"{'type': 'Point', 'coordinates': [-73.850502015517, 40.863889120851]}",Street/Sidewalk,-73.85050201551711,PHONE,BRONX,Unspecified,2019-07-18T03:10:00.000,The Police Department issued a summons in response to the complaint.,,Closed,GABRIEL DRIVE,,,43306061,,1025601,254051
9,,NYPD,New York City Police Department,4019330027,QUEENS,,,,CORONA,2019-07-18T04:14:39.000,04 QUEENS,Blocked Driveway,2019-07-18T00:00:52.000,CHRISTIE AVENUE,RADCLIFF AVENUE,No Access,,50-32 103 STREET,11368,CHRISTIE AVENUE,RADCLIFF AVENUE,103 STREET,40.742887864582464,"{'type': 'Point', 'coordinates': [-73.859311901878, 40.742887864582]}",Street/Sidewalk,-73.85931190187793,MOBILE,QUEENS,Unspecified,2019-07-18T04:14:00.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,103 STREET,,,43302897,,1023235,209962
10,INTERSECTION,DOT,Department of Transportation,,QUEENS,,,,Long Island City,2019-07-18T01:00:00.000,01 QUEENS,Traffic Signal Condition,2019-07-18T00:01:00.000,31 ST,39 AVE,Controller,N/A,,11101,31 STREET,39 AVENUE,,40.7526926233133,"{'type': 'Point', 'coordinates': [-73.932910237073, 40.752692623313]}",,-73.93291023707339,UNKNOWN,QUEENS,Unspecified,2019-07-18T01:00:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,,,,43302572,,1002838,213510
11,,NYPD,New York City Police Department,2029830030,BRONX,,,,BRONX,2019-07-18T06:48:39.000,03 BRONX,Noise - Residential,2019-07-18T00:01:38.000,EAST  173 STREET,EAST  174 STREET,Banging/Pounding,,1705 HOE AVENUE,10460,EAST  173 STREET,EAST  174 STREET,HOE AVENUE,40.83634934042209,"{'type': 'Point', 'coordinates': [-73.887262518177, 40.836349340422]}",Residential Building/House,-73.88726251817741,ONLINE,BRONX,Unspecified,2019-07-18T06:48:00.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,HOE AVENUE,,,43305379,,1015446,244002
12,,TLC,Taxi and Limousine Commission,5010080061,STATEN ISLAND,,,,STATEN ISLAND,,01 STATEN ISLAND,Taxi Complaint,2019-07-18T00:01:49.000,ANN STREET,BENNETT STREET,Driver Complaint - Passenger,,9 AVENUE B,10302,ANN STREET,BENNETT STREET,AVENUE B,40.63738630059082,"{'type': 'Point', 'coordinates': [-74.12963122985, 40.637386300591]}",,-74.1296312298501,PHONE,STATEN ISLAND,Unspecified,2019-07-22T16:34:56.000,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC represe",,In Progress,AVENUE B,,"9 AVENUE B, STATEN IS (STATEN ISLAND), NY, 10302",43311604,,948272,171520
13,ADDRESS,DHS,Department of Homeless Services,1008870082,MANHATTAN,,,,NEW YORK,2019-07-21T10:14:20.000,05 MANHATTAN,Homeless Person Assistance,2019-07-18T00:02:22.000,PARK AVENUE,LEXINGTON AVENUE,N/A,,128 EAST   32 STREET,10016,PARK AVENUE,LEXINGTON AVENUE,EAST   32 STREET,40.74526409741301,"{'type': 'Point', 'coordinates': [-73.981031609438, 40.745264097413]}",,-73.98103160943802,MOBILE,MANHATTAN,Unspecified,2019-07-18T08:27:27.000,,,Closed,EAST   32 STREET,,,43305360,,989506,210797
