,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
0,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4003680018,QUEENS,,,,Long Island City,2019-05-22T00:00:00.000,01 QUEENS,Standing Water,2019-05-05T00:00:00.000,37 AVENUE,38 AVENUE,Puddle on Roof,2019-06-04T09:22:15.000,N/A,37-01 CRESCENT STREET,11101,,,40.75676416622981,"{'type': 'Point', 'coordinates': [-73.934797528055, 40.75676416623]}",Abandoned Building,-73.93479752805494,ONLINE,QUEENS,Unspecified,2019-05-22T00:00:00.000,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,,Closed,CRESCENT STREET,,,42595041,1002314,214993
1,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3018590024,BROOKLYN,,,,BROOKLYN,2019-05-13T00:00:01.000,03 BROOKLYN,Food Poisoning,2019-05-05T00:00:00.000,DECATUR STREET,FULTON STREET,1 or 2,2019-05-19T19:21:50.000,N/A,476 MARCUS GARVEY BOULEVARD,11216,,,40.680491558682455,"{'type': 'Point', 'coordinates': [-73.937561729566, 40.680491558682]}",Other (Explain Below),-73.93756172956628,PHONE,BROOKLYN,Unspecified,2019-05-13T16:37:23.000,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",,Closed,MARCUS GARVEY BOULEVARD,,,42595351,1001568,187204
2,ADDRESS,DOHMH,Department of Health and Mental Hygiene,2030730013,BRONX,,,,BRONX,2019-05-06T00:00:01.000,06 BRONX,Food Poisoning,2019-05-05T00:00:00.000,CRESCENT AVENUE,EAST 186 STREET,1 or 2,2019-05-19T13:02:57.000,N/A,2344 ARTHUR AVENUE,10458,,,40.85424621179727,"{'type': 'Point', 'coordinates': [-73.888674495651, 40.854246211797]}",Restaurant/Bar/Deli/Bakery,-73.88867449565083,PHONE,BRONX,Unspecified,2019-05-13T16:38:59.000,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",,Closed,ARTHUR AVENUE,,,42592879,1015047,250522
3,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4002150001,QUEENS,,,,Long Island City,2019-05-06T11:39:24.000,02 QUEENS,Food Poisoning,2019-05-05T00:00:00.000,38 STREET,39 STREET,3 or More,2019-05-19T00:24:19.000,N/A,38-09 43 AVENUE,11101,,,40.74585154672447,"{'type': 'Point', 'coordinates': [-73.926507657203, 40.745851546724]}",Food Cart Vendor,-73.92650765720278,ONLINE,QUEENS,Unspecified,2019-05-06T11:38:37.000,"Callers should contact the DOHMH Foodborne Illness unit directly at (646) 632-6103 weekdays from 9AM to 5PM.  DOHMH will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection. Initial status will be available 14 days after the date of your complaint. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center.  Please note your Service Request number for future reference.",,Closed,43 AVENUE,,,42587172,1004614,211019
4,INTERSECTION,NYPD,New York City Police Department,,BROOKLYN,,,,BROOKLYN,2019-05-05T01:35:30.000,04 BROOKLYN,Noise - Commercial,2019-05-05T00:00:13.000,,,Loud Music/Party,2019-05-05T08:00:13.000,Precinct,,11206,MYRTLE AVENUE,BROADWAY,40.69698633989122,"{'type': 'Point', 'coordinates': [-73.93522383122, 40.696986339891]}",Club/Bar/Restaurant,-73.93522383122014,ONLINE,BROOKLYN,Unspecified,2019-05-05T01:35:30.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,,,,42589206,1002212,193214
5,ADDRESS,NYPD,New York City Police Department,4090480011,QUEENS,,,,OZONE PARK,2019-05-05T07:20:23.000,09 QUEENS,Noise - Residential,2019-05-05T00:00:26.000,97 AVENUE,101 AVENUE,Loud Music/Party,2019-05-05T08:00:26.000,Precinct,97-12 77 STREET,11416,,,40.6813689350336,"{'type': 'Point', 'coordinates': [-73.861157882331, 40.681368935034]}",Residential Building/House,-73.86115788233055,MOBILE,QUEENS,Unspecified,2019-05-05T07:20:23.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,77 STREET,,,42586672,1022759,187548
6,ADDRESS,NYPD,New York City Police Department,3030980001,BROOKLYN,,,,BROOKLYN,2019-05-05T08:14:08.000,01 BROOKLYN,Noise - Residential,2019-05-05T00:00:28.000,HUMBOLDT STREET,BUSHWICK AVENUE,Loud Music/Party,2019-05-05T08:00:28.000,Precinct,131 MOORE STREET,11206,,,40.70394989326451,"{'type': 'Point', 'coordinates': [-73.940453944752, 40.703949893265]}",Residential Building/House,-73.94045394475171,MOBILE,BROOKLYN,Unspecified,2019-05-05T08:14:08.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,MOORE STREET,,,42590276,1000760,195750
7,ADDRESS,NYPD,New York City Police Department,4020930245,QUEENS,,,,REGO PARK,2019-05-05T06:53:54.000,06 QUEENS,Noise - Residential,2019-05-05T00:00:37.000,LONG ISLAND EXPRESSWAY,62 DRIVE,Loud Music/Party,2019-05-05T08:00:37.000,Precinct,61-55 98 STREET,11374,,,40.73346060209193,"{'type': 'Point', 'coordinates': [-73.860111192036, 40.733460602092]}",Residential Building/House,-73.86011119203626,PHONE,QUEENS,Unspecified,2019-05-05T06:53:54.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,98 STREET,,,42588327,1023019,206527
8,ADDRESS,NYPD,New York City Police Department,4095760015,QUEENS,,,,SOUTH RICHMOND HILL,2019-05-05T02:13:00.000,10 QUEENS,Noise - Residential,2019-05-05T00:00:38.000,LIBERTY AVENUE,107 AVENUE,Loud Talking,2019-05-05T08:00:38.000,Precinct,104-18 123 STREET,11419,,,40.68720594003324,"{'type': 'Point', 'coordinates': [-73.820634947318, 40.687205940033]}",Residential Building/House,-73.82063494731842,ONLINE,QUEENS,Unspecified,2019-05-05T02:13:00.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,123 STREET,,,42591160,1033994,189695
9,ADDRESS,NYPD,New York City Police Department,2037630001,BRONX,,,,BRONX,2019-05-05T00:37:30.000,09 BRONX,Noise - Commercial,2019-05-05T00:00:39.000,GLEASON AVENUE,WESTCHESTER AVENUE,Loud Talking,2019-05-05T08:00:39.000,Precinct,1207 BEACH AVENUE,10472,,,40.83036235589997,"{'type': 'Point', 'coordinates': [-73.866021542144, 40.8303623559]}",Store/Commercial,-73.86602154214397,MOBILE,BRONX,Unspecified,2019-05-05T00:37:30.000,The Police Department responded to the complaint and determined that police action was not necessary.,,Closed,BEACH AVENUE,,,42591000,1021327,241829
