,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
0,ADDRESS,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-06-03T00:00:00.000,06 BROOKLYN,Standing Water,2019-05-26T00:00:00.000,CONOVER STREET,FERRIS STREET,Container - Over 5 Gallons,2019-06-25T16:38:06.000,N/A,167 DIKEMAN STREET,11231,,,,40.6781167560081,"{'type': 'Point', 'coordinates': [-74.015513470898, 40.678116756008]}",Commercial Building,-74.01551347089772,PHONE,BROOKLYN,Unspecified,2019-06-03T00:00:00.000,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,,Closed,DIKEMAN STREET,,,42782958,979947,186333
1,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1020540069,MANHATTAN,,,,NEW YORK,2019-06-03T00:00:00.000,09 MANHATTAN,Standing Water,2019-05-26T00:00:00.000,WEST 153 STREET,EDGECOMBE AVENUE,Sewer or Drain,2019-06-25T21:09:43.000,N/A,94 ST NICHOLAS PLACE,10032,,,,40.83005972101602,"{'type': 'Point', 'coordinates': [-73.94037722015, 40.830059721016]}",Other,-73.94037722015007,ONLINE,MANHATTAN,Unspecified,2019-06-03T00:00:00.000,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,,Closed,ST NICHOLAS PLACE,,,42782081,1000750,241696
2,ADDRESS,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-06-03T00:00:00.000,06 BROOKLYN,Standing Water,2019-05-26T00:00:00.000,COLUMBIA STREET,HICKS STREET,Puddle in Ground,2019-06-25T16:30:29.000,N/A,90 WARREN STREET,11201,,,,40.68876202777417,"{'type': 'Point', 'coordinates': [-73.99988821883, 40.688762027774]}",Vacant Lot,-73.99988821883025,PHONE,BROOKLYN,Unspecified,2019-06-03T00:00:00.000,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,,Closed,WARREN STREET,,,42781171,984281,190211
3,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1007170069,MANHATTAN,,,,NEW YORK,2019-06-03T00:00:00.000,04 MANHATTAN,Standing Water,2019-05-26T00:00:00.000,9 AVENUE,10 AVENUE,Puddle on Sidewalk,2019-06-25T17:37:02.000,N/A,450 WEST   20 STREET,10011,,,,40.7452189242398,"{'type': 'Point', 'coordinates': [-74.004139408117, 40.74521892424]}",3+ Family Mixed Use Building,-74.00413940811653,ONLINE,MANHATTAN,Unspecified,2019-06-03T00:00:00.000,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,,Closed,WEST   20 STREET,,,42779383,983103,210780
4,ADDRESS,DEP,Department of Environmental Protection,3051220012,BROOKLYN,,,,BROOKLYN,2019-05-28T09:41:00.000,14 BROOKLYN,Noise,2019-05-26T00:00:00.000,ALBEMARLE RD,BEVERLEY RD,Noise: Alarms (NR3),,N/A,120 EAST   19 STREET,11226,,,,40.64643937078732,"{'type': 'Point', 'coordinates': [-73.961553649826, 40.646439370787]}",,-73.96155364982612,ONLINE,BROOKLYN,Unspecified,2019-05-28T09:41:00.000,The Department of Environmental Protection researched this complaint and determined that it could be closed.,,Closed,EAST   19 STREET,,,42780364,994919,174794
5,ADDRESS,NYPD,New York City Police Department,3048060077,BROOKLYN,,,,BROOKLYN,2019-05-26T00:24:40.000,09 BROOKLYN,Blocked Driveway,2019-05-26T00:00:07.000,TROY AVENUE,SCHENECTADY AVENUE,No Access,2019-05-26T08:00:07.000,Precinct,824 EAST NEW YORK AVENUE,11203,,,,40.66249844748186,"{'type': 'Point', 'coordinates': [-73.935567302266, 40.662498447482]}",Street/Sidewalk,-73.93556730226642,PHONE,BROOKLYN,Unspecified,2019-05-26T00:24:40.000,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,,Closed,EAST NEW YORK AVENUE,,,42772750,1002126,180649
6,ADDRESS,NYPD,New York City Police Department,2026820001,BRONX,,,,BRONX,2019-05-26T18:44:23.000,03 BRONX,Noise - Residential,2019-05-26T00:00:18.000,EAST 168 STREET,EAST 169 STREET,Loud Music/Party,2019-05-26T08:00:18.000,Precinct,1200 UNION AVENUE,10459,,,,40.82896892617357,"{'type': 'Point', 'coordinates': [-73.899257206707, 40.828968926174]}",Residential Building/House,-73.89925720670651,PHONE,BRONX,Unspecified,2019-05-26T18:44:23.000,The Police Department responded to the complaint and determined that police action was not necessary.,,Closed,UNION AVENUE,,,42777375,1012130,241309
7,ADDRESS,NYPD,New York City Police Department,3050760004,BROOKLYN,,,,BROOKLYN,2019-05-26T07:41:52.000,14 BROOKLYN,Derelict Vehicle,2019-05-26T00:00:20.000,EAST 15 STREET,EAST 16 STREET,With License Plate,2019-05-26T08:00:20.000,Precinct,1502 CATON AVENUE,11226,,,,40.65034659680102,"{'type': 'Point', 'coordinates': [-73.965994844564, 40.650346596801]}",Street/Sidewalk,-73.96599484456353,MOBILE,BROOKLYN,Unspecified,2019-05-26T07:41:52.000,The Police Department responded to the complaint and determined that police action was not necessary.,,Closed,CATON AVENUE,,,42773871,993686,176217
8,ADDRESS,NYPD,New York City Police Department,4079680006,QUEENS,,,,QUEENS VILLAGE,2019-05-26T01:34:01.000,13 QUEENS,Noise - Residential,2019-05-26T00:00:32.000,88 AVENUE,BRADDOCK AVENUE,Loud Music/Party,2019-05-26T08:00:32.000,Precinct,88-19 SABRE STREET,11427,,,,40.73005568139439,"{'type': 'Point', 'coordinates': [-73.73574031165, 40.730055681394]}",Residential Building/House,-73.73574031164979,ONLINE,QUEENS,Unspecified,2019-05-26T01:34:01.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,SABRE STREET,,,42773108,1057491,205366
9,ADDRESS,NYPD,New York City Police Department,,QUEENS,,,,SOUTH OZONE PARK,2019-05-26T02:30:39.000,10 QUEENS,Noise - Residential,2019-05-26T00:00:39.000,109 AVENUE,111 AVENUE,Loud Music/Party,2019-05-26T08:00:39.000,Precinct,109-26 124 STREET,11420,,,,40.68320760824673,"{'type': 'Point', 'coordinates': [-73.817656699635, 40.683207608247]}",Residential Building/House,-73.81765669963508,MOBILE,QUEENS,Unspecified,2019-05-26T02:30:39.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,124 STREET,,,42772656,1034823,188240
