date,boro,cause_1,cause_10,cause_11,cause_12,cause_13,cause_14,cause_15,cause_2,cause_3,cause_4,cause_5,cause_6,cause_7,cause_8,cause_9,complaints,events_1,events_10,events_11,events_12,events_13,events_14,events_15,events_2,events_3,events_4,events_5,events_6,events_7,events_8,events_9
2019-01-01,NYC,Noise - Residential,Electronics Waste,WATER LEAK,Traffic Signal Condition,Water System,PLUMBING,Sewer,HEAT/HOT WATER,Blocked Driveway,Illegal Parking,Request Large Bulky Item Collection,Noise - Commercial,Street Condition,Noise - Street/Sidewalk,UNSANITARY CONDITION,"(5068,)",1158,101.0,95.0,80.0,78.0,77.0,70.0,505,415.0,377.0,361.0,161.0,128.0,118.0,106.0
2019-01-01,BRONX,Noise - Residential,Noise - Commercial,DOOR/WINDOW,GENERAL,FLOORING/STAIRS,Derelict Vehicles,Noise - Vehicle,HEAT/HOT WATER,Blocked Driveway,Illegal Parking,UNSANITARY CONDITION,Request Large Bulky Item Collection,PLUMBING,WATER LEAK,PAINT/PLASTER,"(995,)",286,18.0,16.0,15.0,14.0,12.0,12.0,158,98.0,55.0,43.0,30.0,29.0,28.0,23.0
2019-01-01,BROOKLYN,Noise - Residential,Street Condition,UNSANITARY CONDITION,PLUMBING,Traffic Signal Condition,Sanitation Condition,Derelict Vehicles,HEAT/HOT WATER,Blocked Driveway,Illegal Parking,Request Large Bulky Item Collection,Electronics Waste,Noise - Commercial,WATER LEAK,Noise - Street/Sidewalk,"(1657,)",312,37.0,37.0,32.0,27.0,27.0,26.0,152,145.0,140.0,119.0,53.0,48.0,40.0,40.0
2019-01-01,MANHATTAN,Noise - Residential,Noise - Vehicle,Taxi Complaint,Traffic Signal Condition,PAINT/PLASTER,Noise,PLUMBING,HEAT/HOT WATER,Request Large Bulky Item Collection,Noise - Commercial,Noise - Street/Sidewalk,Illegal Parking,Street Condition,UNSANITARY CONDITION,WATER LEAK,"(859,)",260,17.0,17.0,13.0,11.0,11.0,10.0,119,45.0,44.0,40.0,30.0,26.0,18.0,18.0
2019-01-01,QUEENS,Noise - Residential,Water System,Noise - Street/Sidewalk,Missed Collection (All Materials),Traffic Signal Condition,Derelict Vehicles,Electronics Waste,Blocked Driveway,Request Large Bulky Item Collection,Illegal Parking,HEAT/HOT WATER,Noise - Commercial,Street Condition,Sewer,Derelict Vehicle,"(1238,)",266,27.0,24.0,22.0,20.0,17.0,16.0,154,139.0,127.0,70.0,46.0,39.0,34.0,29.0
2019-01-01,STATEN ISLAND,Electronics Waste,Sanitation Condition,HEAT/HOT WATER,Noise - Commercial,Dirty Conditions,Noise,Traffic Signal Condition,Noise - Residential,Request Large Bulky Item Collection,Illegal Parking,Missed Collection (All Materials),Street Condition,Water System,Blocked Driveway,Sewer,"(249,)",32,6.0,6.0,5.0,4.0,4.0,4.0,31,28.0,25.0,17.0,16.0,13.0,13.0,12.0
2019-01-01,Unspecified,Benefit Card Replacement,Consumer Complaint,For Hire Vehicle Complaint,Highway Sign - Dangling,DOF Parking - Request Status,Noise - Street/Sidewalk,Taxi Complaint,Highway Condition,HPD Literature Request,Traffic Signal Condition,DCA / DOH New License Application Request,Noise - Residential,Bridge Condition,Question,Ferry Inquiry,"(70,)",23,2.0,1.0,1.0,1.0,1.0,1.0,14,5.0,4.0,4.0,3.0,3.0,3.0,2.0
2019-01-02,NYC,HEAT/HOT WATER,PAINT/PLASTER,WATER LEAK,PLUMBING,Electronics Waste,General Construction/Plumbing,Sanitation Condition,Request Large Bulky Item Collection,Illegal Parking,Noise - Residential,Street Condition,Blocked Driveway,Water System,UNSANITARY CONDITION,Street Light Condition,"(8135,)",874,249.0,199.0,196.0,174.0,161.0,147.0,608,451.0,407.0,370.0,359.0,324.0,303.0,268.0
2019-01-02,BRONX,HEAT/HOT WATER,DOOR/WINDOW,Illegal Parking,FLOORING/STAIRS,APPLIANCE,Request Large Bulky Item Collection,Derelict Vehicles,Noise - Residential,UNSANITARY CONDITION,PAINT/PLASTER,Street Light Condition,Blocked Driveway,WATER LEAK,Street Condition,PLUMBING,"(1680,)",299,57.0,48.0,40.0,38.0,35.0,27.0,132,112.0,105.0,88.0,74.0,72.0,71.0,67.0
2019-01-02,BROOKLYN,HEAT/HOT WATER,Water System,PLUMBING,Sanitation Condition,General Construction/Plumbing,Street Light Condition,WATER LEAK,Request Large Bulky Item Collection,Illegal Parking,Blocked Driveway,Noise - Residential,UNSANITARY CONDITION,Street Condition,Electronics Waste,PAINT/PLASTER,"(2455,)",241,63.0,61.0,57.0,56.0,56.0,54.0,228,169.0,127.0,102.0,89.0,89.0,88.0,82.0
2019-01-02,MANHATTAN,HEAT/HOT WATER,PLUMBING,General Construction/Plumbing,Water System,PAINT/PLASTER,DOOR/WINDOW,Elevator,Noise - Residential,Street Condition,Street Light Condition,Request Large Bulky Item Collection,Illegal Parking,Noise,UNSANITARY CONDITION,WATER LEAK,"(1316,)",176,33.0,33.0,30.0,28.0,27.0,24.0,82,78.0,61.0,57.0,56.0,54.0,48.0,34.0
