,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
0,ADDRESS,NYPD,New York City Police Department,1003230001,MANHATTAN,,,,NEW YORK,,03 MANHATTAN,Noise - Residential,2019-06-14T00:00:22.000,BEND,EAST HOUSTON STREET,Banging/Pounding,2019-06-14T08:00:22.000,Precinct,75 BARUCH DRIVE,10002,,,,40.717423561327045,"{'type': 'Point', 'coordinates': [-73.978276268276, 40.717423561327]}",Residential Building/House,-73.97827626827603,ONLINE,MANHATTAN,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. Your complaint will take priority over other non-emergency complaints. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,Open,BARUCH DRIVE,,42954805,990272,200654
1,ADDRESS,NYPD,New York City Police Department,4038700126,QUEENS,,,,RIDGEWOOD,2019-06-14T01:33:29.000,05 QUEENS,Illegal Parking,2019-06-14T00:00:50.000,MYRTLE AVENUE,DEAD END,Commercial Overnight Parking,2019-06-14T08:00:50.000,Precinct,82-56 89 STREET,11385,,,,40.70221219754379,"{'type': 'Point', 'coordinates': [-73.85624559463, 40.702212197544]}",Street/Sidewalk,-73.85624559462984,MOBILE,QUEENS,Unspecified,2019-06-14T01:33:29.000,The Police Department issued a summons in response to the complaint.,,Closed,89 STREET,,42964068,1024109,195144
2,ADDRESS,NYPD,New York City Police Department,1020080006,MANHATTAN,,,,NEW YORK,,10 MANHATTAN,Noise - Residential,2019-06-14T00:01:31.000,LENOX AVENUE,7 AVENUE,Loud Television,2019-06-14T08:01:31.000,Precinct,153 WEST 139 STREET,10030,,,,40.817634867584246,"{'type': 'Point', 'coordinates': [-73.941313235778, 40.817634867584]}",Residential Building/House,-73.94131323577753,PHONE,MANHATTAN,Unspecified,2019-06-14T00:44:29.000,The Police Department responded to the complaint and took action to fix the condition.,,Assigned,WEST 139 STREET,,42961780,1000494,237169
3,ADDRESS,NYPD,New York City Police Department,2022670003,BRONX,,,,BRONX,,01 BRONX,Noise - Residential,2019-06-14T00:02:01.000,EAST 139 STREET,EAST 140 STREET,Loud Music/Party,2019-06-14T08:02:01.000,Precinct,282 BROOK AVENUE,10454,,,,40.80858819601399,"{'type': 'Point', 'coordinates': [-73.918610449962, 40.808588196014]}",Residential Building/House,-73.91861044996179,PHONE,BRONX,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. Your complaint will take priority over other non-emergency complaints. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,Open,BROOK AVENUE,,42955469,1006781,233878
4,ADDRESS,NYPD,New York City Police Department,3050580016,BROOKLYN,,,,BROOKLYN,,14 BROOKLYN,Noise - Residential,2019-06-14T00:02:11.000,PARADE PLACE,ST PAULS PLACE,Loud Music/Party,2019-06-14T08:02:11.000,Precinct,20 WOODRUFF AVENUE,11226,,,,40.6527617264666,"{'type': 'Point', 'coordinates': [-73.965063807693, 40.652761726467]}",Residential Building/House,-73.96506380769252,MOBILE,BROOKLYN,Unspecified,2019-06-14T00:27:07.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,WOODRUFF AVENUE,,42963305,993944,177097
5,BLOCKFACE,DOT,Department of Transportation,,QUEENS,,,,Ozone Park,,10 QUEENS,Street Condition,2019-06-14T00:02:18.000,NORTH CONDUIT AVENUE,PITKIN AVENUE,Pothole,,N/A,76 STREET,11417,,,,40.67571943050358,"{'type': 'Point', 'coordinates': [-73.860535138411, 40.675719430504]}",,-73.86053513841067,UNKNOWN,QUEENS,Unspecified,2019-06-14T00:02:18.000,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,,Open,76 STREET,,42960921,1022935,185490
6,,DOT,Department of Transportation,,Unspecified,East/Brooklyn Bound,Staten Island Expwy,Clove Rd/Richmond Rd (Exit 13) - Lily Pond Ave/Bay St (Exit 15 S-N),STATEN ISLAND,,0 Unspecified,Highway Condition,2019-06-14T00:02:24.000,,,Pothole - Highway,,N/A,,10304,,,,40.60687536641399,"{'type': 'Point', 'coordinates': [-74.085407722103, 40.606875366414]}",Highway,-74.0854077221027,PHONE,Unspecified,Unspecified,2019-06-14T02:31:51.000,The Department of Transportation will inspect the condition and will determine the next action.,Roadway,Assigned,,,42961732,960535,160389
7,ADDRESS,NYPD,New York City Police Department,2033430204,BRONX,,,,BRONX,,07 BRONX,Noise - Residential,2019-06-14T00:03:59.000,TRYON AVENUE,KINGS COLLEGE PLACE,Loud Music/Party,2019-06-14T08:03:59.000,Precinct,250 EAST GUN HILL ROAD,10467,,,,40.87991826767398,"{'type': 'Point', 'coordinates': [-73.876086861472, 40.879918267674]}",Residential Building/House,-73.87608686147225,ONLINE,BRONX,Unspecified,2019-06-14T02:13:17.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,EAST GUN HILL ROAD,,42956776,1018516,259880
8,ADDRESS,DSNY,Department of Sanitation,4063720044,QUEENS,,,,Flushing,,07 QUEENS,Request Large Bulky Item Collection,2019-06-14T00:04:00.000,136 STREET,138 STREET,Request Large Bulky Item Collection,,N/A,136-11 58 AVENUE,11355,,,,40.74561079822707,"{'type': 'Point', 'coordinates': [-73.828987557711, 40.745610798227]}",Sidewalk,-73.82898755771113,PHONE,QUEENS,Unspecified,2019-06-20T00:00:00.000,The Department of Sanitation has sent this complaint to the appropriate district garage or bureau for further action.,,Assigned,58 AVENUE,,42960955,1031636,210969
9,ADDRESS,DSNY,Department of Sanitation,1005580010,MANHATTAN,,,,NEW YORK,,03 MANHATTAN,Request Large Bulky Item Collection,2019-06-14T00:04:00.000,EAST 12 STREET,EAST 13 STREET,Request Large Bulky Item Collection,,N/A,127 4 AVENUE,10003,,,,40.73321301326435,"{'type': 'Point', 'coordinates': [-73.989925767096, 40.733213013264]}",Sidewalk,-73.9899257670956,PHONE,MANHATTAN,Unspecified,2019-06-15T00:00:00.000,The Department of Sanitation has sent this complaint to the appropriate district garage or bureau for further action.,,Assigned,4 AVENUE,,42955812,987042,206406
