,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
0,INTERSECTION,DOHMH,Department of Health and Mental Hygiene,,BRONX,,,,BRONX,2019-06-06T00:00:00.000,12 BRONX,Standing Water,2019-06-02T00:00:00.000,,,Puddle in Ground,2019-07-02T22:45:43.000,N/A,,10469,GIVAN AVENUE,EDSON AVENUE,,40.87716692130756,"{'type': 'Point', 'coordinates': [-73.837541103679, 40.877166921308]}",Other,-73.83754110367944,PHONE,BRONX,Unspecified,2019-06-06T00:00:00.000,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,,Closed,,,,42845156,1029177,258895
1,INTERSECTION,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-06-06T00:00:00.000,14 BROOKLYN,Standing Water,2019-06-02T00:00:00.000,,,Puddle in Ground,2019-07-02T13:41:03.000,N/A,,11218,STRATFORD ROAD,CATON AVENUE,,40.648898379549294,"{'type': 'Point', 'coordinates': [-73.969671346475, 40.648898379549]}",Public Garden/Park,-73.96967134647544,PHONE,BROOKLYN,Unspecified,2019-06-06T00:00:00.000,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,,Closed,,,,42845127,992666,175689
2,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1003230001,MANHATTAN,,,,NEW YORK,2019-06-06T00:00:00.000,03 MANHATTAN,Standing Water,2019-06-02T00:00:00.000,WILLIAMSBURG BRIDGE,FDR DRIVE SB EN E HOUSTON ST,Puddle in Ground,2019-07-02T13:26:12.000,N/A,549 FDR DRIVE,10002,,,,40.71634441405232,"{'type': 'Point', 'coordinates': [-73.975978746642, 40.716344414052]}",Other,-73.97597874664181,PHONE,MANHATTAN,Unspecified,2019-06-06T00:00:00.000,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,,Closed,FDR DRIVE,,,42844285,990909,200261
3,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3011240028,BROOKLYN,,,,BROOKLYN,2019-06-04T00:00:00.000,08 BROOKLYN,Standing Water,2019-06-02T00:00:00.000,ST JAMES PLACE,GRAND AVENUE,Puddle on Roof,2019-07-02T09:41:51.000,N/A,958 ATLANTIC AVENUE,11238,,,,40.68069176051582,"{'type': 'Point', 'coordinates': [-73.962446071017, 40.680691760516]}",1-2 Family Mixed Use Building,-73.96244607101701,ONLINE,BROOKLYN,Unspecified,2019-06-04T00:00:00.000,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,,Closed,ATLANTIC AVENUE,,,42846853,994666,187273
4,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3011240028,BROOKLYN,,,,BROOKLYN,2019-06-04T00:00:00.000,08 BROOKLYN,Standing Water,2019-06-02T00:00:00.000,ST JAMES PLACE,GRAND AVENUE,Puddle on Roof,2019-07-02T21:48:22.000,N/A,958 ATLANTIC AVENUE,11238,,,,40.68069176051582,"{'type': 'Point', 'coordinates': [-73.962446071017, 40.680691760516]}",3+ Family Apartment Building,-73.96244607101701,ONLINE,BROOKLYN,Unspecified,2019-06-04T00:00:00.000,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,,Closed,ATLANTIC AVENUE,,,42846840,994666,187273
5,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3011240028,BROOKLYN,,,,BROOKLYN,2019-06-04T00:00:00.000,08 BROOKLYN,Standing Water,2019-06-02T00:00:00.000,ST JAMES PLACE,GRAND AVENUE,Puddle on Roof,2019-07-02T23:54:35.000,N/A,958 ATLANTIC AVENUE,11238,,,,40.68069176051582,"{'type': 'Point', 'coordinates': [-73.962446071017, 40.680691760516]}",3+ Family Apartment Building,-73.96244607101701,ONLINE,BROOKLYN,Unspecified,2019-06-04T00:00:00.000,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,,Closed,ATLANTIC AVENUE,,,42846142,994666,187273
6,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3011240028,BROOKLYN,,,,BROOKLYN,2019-06-04T00:00:00.000,08 BROOKLYN,Standing Water,2019-06-02T00:00:00.000,ST JAMES PLACE,GRAND AVENUE,Puddle on Roof,2019-07-02T17:26:42.000,N/A,958 ATLANTIC AVENUE,11238,,,,40.68069176051582,"{'type': 'Point', 'coordinates': [-73.962446071017, 40.680691760516]}",3+ Family Apartment Building,-73.96244607101701,ONLINE,BROOKLYN,Unspecified,2019-06-04T00:00:00.000,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,,Closed,ATLANTIC AVENUE,,,42846000,994666,187273
7,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3003490034,BROOKLYN,,,,BROOKLYN,2019-06-04T00:00:00.000,06 BROOKLYN,Standing Water,2019-06-02T00:00:00.000,HICKS STREET,HENRY STREET,Fountain - Over 5 Gallons,2019-07-02T15:56:41.000,N/A,123 CARROLL STREET,11231,,,,40.682342002472744,"{'type': 'Point', 'coordinates': [-74.0010960711, 40.682342002473]}",3+ Family Apartment Building,-74.00109607110012,ONLINE,BROOKLYN,Unspecified,2019-06-04T00:00:00.000,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,,Closed,CARROLL STREET,,,42844251,983946,187872
8,ADDRESS,DSNY,Department of Sanitation,4007980042,QUEENS,,,,Astoria,2019-06-04T00:00:00.000,01 QUEENS,Request Large Bulky Item Collection,2019-06-02T00:00:00.000,20 AVENUE,20 ROAD,Request Large Bulky Item Collection,,N/A,20-24 42 STREET,11105,,,,40.774896460748984,"{'type': 'Point', 'coordinates': [-73.90089152925, 40.774896460749]}",Sidewalk,-73.90089152924992,PHONE,QUEENS,Unspecified,2019-06-04T00:00:00.000,,,Closed,42 STREET,,,42842412,1011700,221608
9,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4079340067,QUEENS,,,,Queens Village,,13 QUEENS,Standing Water,2019-06-02T00:00:00.000,SEWARD AVENUE,HILLSIDE AVENUE,Other - Explain Below,2019-07-02T10:04:05.000,N/A,82-52 234 STREET,11427,,,,40.735275939647785,"{'type': 'Point', 'coordinates': [-73.736812946744, 40.735275939648]}",Other,-73.7368129467439,PHONE,QUEENS,Unspecified,2019-06-02T00:00:00.000,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,,Open,234 STREET,,,42850196,1057188,207267
