,address_type,agency,agency_name,bbl,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
0,ADDRESS,DSNY,Department of Sanitation,4035140038,QUEENS,Ridgewood,,05 QUEENS,Electronics Waste,2019-06-08T00:00:00.000,60 STREET,60 LANE,missed collection for E-waste,,N/A,60-47 CATALPA AVENUE,11385,,,40.70334089582802,"{'type': 'Point', 'coordinates': [-73.897932270096, 40.703340895828]}",Sidewalk,-73.8979322700962,PHONE,QUEENS,Unspecified,,The Department of Sanitation is in the process of investigating this complaint.,Open,CATALPA AVENUE,,,42895926,1012550,195539
1,ADDRESS,NYPD,New York City Police Department,3052260030,BROOKLYN,BROOKLYN,,14 BROOKLYN,Noise - Commercial,2019-06-08T00:00:09.000,EAST 26 STREET,FARRAGUT ROAD,Loud Music/Party,2019-06-08T08:00:09.000,Precinct,1382 FLATBUSH AVENUE,11210,,,40.63662578727696,"{'type': 'Point', 'coordinates': [-73.951694214647, 40.636625787277]}",Store/Commercial,-73.95169421464675,MOBILE,BROOKLYN,Unspecified,2019-06-08T01:33:08.000,Your complaint has been received by the Police Department and additional information will be available later.,Assigned,FLATBUSH AVENUE,,,42903971,997657,171220
2,ADDRESS,NYPD,New York City Police Department,2023950001,BRONX,BRONX,2019-06-08T01:16:40.000,03 BRONX,Noise - Residential,2019-06-08T00:00:10.000,BROOK AVENUE,METRO NORTH RAILROAD,Loud Music/Party,2019-06-08T08:00:10.000,Precinct,421 EAST 168 STREET,10456,,,40.832004216409196,"{'type': 'Point', 'coordinates': [-73.908709426395, 40.832004216409]}",Residential Building/House,-73.90870942639503,ONLINE,BRONX,Unspecified,2019-06-08T01:16:40.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,EAST 168 STREET,,,42903748,1009513,242412
3,ADDRESS,NYPD,New York City Police Department,4003320002,QUEENS,ASTORIA,,01 QUEENS,Noise - Residential,2019-06-08T00:00:10.000,35 AVENUE,36 AVENUE,Loud Music/Party,2019-06-08T08:00:10.000,Precinct,35-06 21 STREET,11106,,,40.76125770531783,"{'type': 'Point', 'coordinates': [-73.93549342455, 40.761257705318]}",Residential Building/House,-73.93549342454992,MOBILE,QUEENS,Unspecified,2019-06-08T01:43:29.000,Your complaint has been received by the Police Department and additional information will be available later.,Assigned,21 STREET,,,42902798,1002120,216630
4,,TLC,Taxi and Limousine Commission,,Unspecified,,,0 Unspecified,For Hire Vehicle Complaint,2019-06-08T00:00:22.000,111 AVENUE,,Driver Complaint,2019-06-22T00:00:22.000,N/A,142 STREET,,,,,,Street,,ONLINE,Unspecified,Unspecified,,The Taxi and Limousine Commission will send a confirmation letter in 14 days to confirm your complaint details.  At the hearing you may be required to provide information regarding this complaint.  Please note your Service Request number for future reference.,Open,142 STREET,,,42901528,,
5,ADDRESS,NYPD,New York City Police Department,4117290037,QUEENS,SOUTH OZONE PARK,,10 QUEENS,Noise - Vehicle,2019-06-08T00:00:25.000,SUTTER AVENUE,133 AVENUE,Engine Idling,2019-06-08T08:00:25.000,Precinct,130-03 122 STREET,11420,,,40.67339954562898,"{'type': 'Point', 'coordinates': [-73.817049031221, 40.673399545629]}",Street/Sidewalk,-73.81704903122144,PHONE,QUEENS,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. Your complaint will take priority over other non-emergency complaints. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Open,122 STREET,,,42903489,1034999,184667
6,ADDRESS,NYPD,New York City Police Department,2024530035,BRONX,BRONX,,04 BRONX,Noise - Street/Sidewalk,2019-06-08T00:00:50.000,EAST 167 STREET,EAST 168 STREET,Loud Music/Party,2019-06-08T08:00:50.000,Precinct,1226 SHERMAN AVENUE,10456,,,40.83456191927017,"{'type': 'Point', 'coordinates': [-73.915423874187, 40.83456191927]}",Street/Sidewalk,-73.91542387418657,ONLINE,BRONX,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. Your complaint will take priority over other non-emergency complaints. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Open,SHERMAN AVENUE,,,42899641,1007654,243342
7,ADDRESS,NYPD,New York City Police Department,1008480043,MANHATTAN,NEW YORK,2019-06-08T02:03:28.000,05 MANHATTAN,Illegal Parking,2019-06-08T00:00:51.000,EAST 19 STREET,EAST 20 STREET,Posted Parking Sign Violation,2019-06-08T08:00:51.000,Precinct,242 PARK AVENUE SOUTH,10003,,,40.73802437798112,"{'type': 'Point', 'coordinates': [-73.987969227107, 40.738024377981]}",Street/Sidewalk,-73.98796922710724,ONLINE,MANHATTAN,Unspecified,2019-06-08T02:03:28.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,PARK AVENUE SOUTH,,,42894815,987584,208159
8,ADDRESS,NYPD,New York City Police Department,3030490118,BROOKLYN,BROOKLYN,2019-06-08T00:48:40.000,01 BROOKLYN,Noise - Residential,2019-06-08T00:01:01.000,SOUTH 4 STREET,LORIMER STREET,Loud Music/Party,2019-06-08T08:01:01.000,Precinct,30 MESEROLE STREET,11206,,,40.70749761385439,"{'type': 'Point', 'coordinates': [-73.949283971783, 40.707497613854]}",Residential Building/House,-73.9492839717833,MOBILE,BROOKLYN,Unspecified,2019-06-08T00:48:40.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,MESEROLE STREET,,,42896351,998311,197041
9,ADDRESS,NYPD,New York City Police Department,3029910005,BROOKLYN,BROOKLYN,2019-06-08T00:49:40.000,01 BROOKLYN,Noise - Commercial,2019-06-08T00:01:31.000,JOHNSON AVENUE,INGRAHAM STREET,Loud Music/Party,2019-06-08T08:01:31.000,Precinct,2 KNICKERBOCKER AVENUE,11237,,,40.70768631977896,"{'type': 'Point', 'coordinates': [-73.931992499702, 40.707686319779]}",Club/Bar/Restaurant,-73.93199249970203,PHONE,BROOKLYN,Unspecified,2019-06-08T00:49:40.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,KNICKERBOCKER AVENUE,,,42899823,1003105,197113
