,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
0,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-02-22T00:00:00.000,Unspecified BROOKLYN,Rodent,2019-02-17T00:00:00.000,,,Rat Sighting,2019-03-19T01:21:37.000,N/A,1454 86 STREET,11228,,,40.61172921809639,"{'type': 'Point', 'coordinates': [-74.010567338713, 40.611729218096]}",Commercial Building,-74.01056733871297,MOBILE,BROOKLYN,Unspecified,2019-02-22T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,86 STREET,,,41720637,981316,162146
1,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1013120028,MANHATTAN,,,,NEW YORK,2019-02-17T00:00:00.000,06 MANHATTAN,Rodent,2019-02-17T00:00:00.000,LEXINGTON AVENUE,3 AVENUE,Rat Sighting,2019-03-18T23:58:48.000,N/A,153 EAST   57 STREET,10022,,,40.760725289414445,"{'type': 'Point', 'coordinates': [-73.968627748897, 40.760725289414]}",3+ Family Mixed Use Building,-73.9686277488973,PHONE,MANHATTAN,Unspecified,2019-02-17T00:01:49.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,EAST   57 STREET,,,41722850,992941,216431
2,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3051220021,BROOKLYN,,,,BROOKLYN,2019-02-17T00:00:00.000,14 BROOKLYN,Rodent,2019-02-17T00:00:00.000,ALBEMARLE ROAD,BEVERLEY ROAD,Rat Sighting,2019-03-19T01:31:36.000,N/A,150 EAST   19 STREET,11226,,,40.64591782808841,"{'type': 'Point', 'coordinates': [-73.961453051532, 40.645917828088]}",3+ Family Mixed Use Building,-73.96145305153163,PHONE,BROOKLYN,Unspecified,2019-02-17T01:38:26.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,EAST   19 STREET,,,41723156,994947,174604
3,LATLONG,DOHMH,Department of Health and Mental Hygiene,,QUEENS,,,,JAMAICA,2019-02-26T00:00:00.000,Unspecified QUEENS,Rodent,2019-02-17T00:00:00.000,,,Mouse Sighting,2019-03-19T01:05:06.000,N/A,90-23 175 STREET,11432,,,40.70934371737753,"{'type': 'Point', 'coordinates': [-73.785988175397, 40.709343717378]}",1-2 Family Dwelling,-73.7859881753971,MOBILE,QUEENS,Unspecified,2019-02-26T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,175 STREET,,,41723245,1043583,197782
4,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3027510014,BROOKLYN,,,,BROOKLYN,2019-02-22T15:32:28.000,01 BROOKLYN,Rodent,2019-02-17T00:00:00.000,MEEKER AVENUE,LORIMER STREET,Mouse Sighting,2019-03-19T00:16:39.000,N/A,20 SKILLMAN AVENUE,11211,,,40.715350985480086,"{'type': 'Point', 'coordinates': [-73.950677622003, 40.71535098548]}",1-2 Family Dwelling,-73.9506776220032,ONLINE,BROOKLYN,Unspecified,2019-02-22T15:32:28.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,SKILLMAN AVENUE,,,41723799,997923,199902
5,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3059810047,BROOKLYN,,,,BROOKLYN,2019-02-17T00:00:00.000,10 BROOKLYN,Rodent,2019-02-17T00:00:00.000,5 AVENUE,6 AVENUE,Rat Sighting,2019-03-19T19:12:27.000,N/A,575 80 STREET,11209,,,40.62473509116726,"{'type': 'Point', 'coordinates': [-74.022406835543, 40.624735091167]}",3+ Family Apt. Building,-74.02240683554332,PHONE,BROOKLYN,Unspecified,2019-02-17T19:19:45.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,80 STREET,,,41724427,978030,166885
6,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BRONX,,,,BRONX,2019-02-17T00:00:00.000,Unspecified BRONX,Rodent,2019-02-17T00:00:00.000,,,Rat Sighting,2019-03-19T12:08:08.000,N/A,2010 POWELL AVENUE,10472,,,40.83023008443566,"{'type': 'Point', 'coordinates': [-73.856460446958, 40.830230084436]}",3+ Family Apt. Building,-73.85646044695774,MOBILE,BRONX,Unspecified,2019-02-17T12:11:32.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,POWELL AVENUE,,,41724428,1023973,241785
7,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3071830057,BROOKLYN,,,,BROOKLYN,2019-02-27T00:00:00.000,15 BROOKLYN,Rodent,2019-02-17T00:00:00.000,ANGELA DRIVE,EAST 7 STREET,Signs of Rodents,2019-03-19T20:39:53.000,N/A,625 CRAWFORD AVENUE,11223,,,40.59195881990316,"{'type': 'Point', 'coordinates': [-73.964119851419, 40.591958819903]}",1-2 Family Dwelling,-73.96411985141877,PHONE,BROOKLYN,Unspecified,2019-02-27T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,CRAWFORD AVENUE,,,41724772,994215,154945
8,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-02-25T00:00:00.000,Unspecified BROOKLYN,Rodent,2019-02-17T00:00:00.000,,,Signs of Rodents,2019-03-19T14:00:29.000,N/A,1754 63 STREET,11204,,,40.62069102247124,"{'type': 'Point', 'coordinates': [-73.990054417342, 40.620691022471]}",3+ Family Apt. Building,-73.99005441734177,MOBILE,BROOKLYN,Unspecified,2019-02-25T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,63 STREET,,,41724773,987011,165411
9,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1015620011,MANHATTAN,,,,NEW YORK,2019-02-25T00:00:00.000,08 MANHATTAN,Rodent,2019-02-17T00:00:00.000,1 AVENUE,YORK AVENUE,Mouse Sighting,2019-03-19T18:11:56.000,N/A,417 EAST   82 STREET,10028,,,40.77404745950208,"{'type': 'Point', 'coordinates': [-73.95066303209, 40.774047459502]}",3+ Family Apt. Building,-73.9506630320902,ONLINE,MANHATTAN,Unspecified,2019-02-25T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,EAST   82 STREET,,,41724841,997915,221287
