,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
0,ADDRESS,DOHMH,Department of Health and Mental Hygiene,2031430251,BRONX,,,,BRONX,2019-01-28T15:32:28.000,05 BRONX,Rodent,2019-01-26T00:00:00.000,EAST 183 STREET,EAST 184 STREET,Rat Sighting,2019-02-25T00:04:04.000,N/A,2330 TIEBOUT AVENUE,10458,,,40.85735527417437,"{'type': 'Point', 'coordinates': [-73.89679216788, 40.857355274174]}",3+ Family Apt. Building,-73.89679216787985,ONLINE,BRONX,Unspecified,2019-01-28T15:32:28.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,TIEBOUT AVENUE,,,41515870,1012800,251652
1,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1015450048,MANHATTAN,,,,NEW YORK,2019-01-30T00:00:00.000,08 MANHATTAN,Rodent,2019-01-26T00:00:00.000,2 AVENUE,1 AVENUE,Rat Sighting,2019-02-25T01:43:44.000,N/A,304 EAST   83 STREET,10028,,,40.77573909226463,"{'type': 'Point', 'coordinates': [-73.952748679226, 40.775739092265]}",3+ Family Apt. Building,-73.95274867922585,PHONE,MANHATTAN,Unspecified,2019-01-30T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,EAST   83 STREET,,,41517418,997337,221903
2,ADDRESS,DOHMH,Department of Health and Mental Hygiene,2059010001,BRONX,,,,BRONX,2019-02-11T00:00:00.000,08 BRONX,Unsanitary Animal Pvt Property,2019-01-26T00:00:00.000,HENRY HUDSON PARKWAY ET 19 SB,WEST 235 STREET,Dog,2019-02-25T00:06:23.000,N/A,3333 HENRY HUDSON PARKWAY,10463,,,40.88555447037561,"{'type': 'Point', 'coordinates': [-73.913749650525, 40.885554470376]}",1-2 Family Dwelling,-73.91374965052465,UNKNOWN,BRONX,Unspecified,2019-02-11T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,HENRY HUDSON PARKWAY,,,41518316,1008099,261921
3,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BRONX,,,,BRONX,2019-01-29T00:00:00.000,Unspecified BRONX,Rodent,2019-01-26T00:00:00.000,,,Rat Sighting,2019-02-25T01:12:50.000,N/A,1187 ANDERSON AVENUE,10452,,,40.837125824991446,"{'type': 'Point', 'coordinates': [-73.923793990609, 40.837125824991]}",3+ Family Apt. Building,-73.92379399060863,MOBILE,BRONX,Unspecified,2019-01-29T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,ANDERSON AVENUE,,,41520977,1005337,244274
4,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-01-26T00:00:00.000,Unspecified BROOKLYN,Rodent,2019-01-26T00:00:00.000,,,Rat Sighting,2019-02-25T00:55:16.000,N/A,446 SAINT JOHNS PLACE,11238,,,40.67344043737419,"{'type': 'Point', 'coordinates': [-73.963600154199, 40.673440437374]}",3+ Family Apt. Building,-73.96360015419924,MOBILE,BROOKLYN,Unspecified,2019-01-26T01:06:24.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,SAINT JOHNS PLACE,,,41522258,994347,184631
5,LATLONG,DOHMH,Department of Health and Mental Hygiene,,MANHATTAN,,,,NEW YORK,2019-01-26T00:00:00.000,Unspecified MANHATTAN,Rodent,2019-01-26T00:00:00.000,,,Rat Sighting,2019-02-25T02:06:58.000,N/A,75 KENMARE STREET,10012,,,40.7213450658576,"{'type': 'Point', 'coordinates': [-73.996240873438, 40.721345065858]}",Construction Site,-73.99624087343817,MOBILE,MANHATTAN,Unspecified,2019-01-26T02:09:40.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,KENMARE STREET,,,41523748,985292,202082
6,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3059510047,BROOKLYN,,,,BROOKLYN,2019-02-01T00:00:00.000,10 BROOKLYN,Rodent,2019-01-26T00:00:00.000,76 STREET,77 STREET,Rat Sighting,2019-02-25T10:05:05.000,N/A,7612 5 AVENUE,11209,,,40.62853101089965,"{'type': 'Point', 'coordinates': [-74.023038563233, 40.6285310109]}",Commercial Building,-74.02303856323329,PHONE,BROOKLYN,Unspecified,2019-02-01T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,5 AVENUE,,,41524761,977855,168268
7,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-01-30T14:06:04.000,Unspecified BROOKLYN,Rodent,2019-01-26T00:00:00.000,,,Mouse Sighting,2019-02-25T05:23:21.000,N/A,361 FENIMORE STREET,11225,,,40.65877030658745,"{'type': 'Point', 'coordinates': [-73.950755498049, 40.658770306587]}",3+ Family Apt. Building,-73.95075549804946,MOBILE,BROOKLYN,Unspecified,2019-01-30T14:06:04.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,FENIMORE STREET,,,41524778,997913,179288
8,LATLONG,DOHMH,Department of Health and Mental Hygiene,,MANHATTAN,,,,NEW YORK,2019-01-26T00:00:00.000,Unspecified MANHATTAN,Rodent,2019-01-26T00:00:00.000,,,Rat Sighting,2019-02-25T19:35:37.000,N/A,2085 LEXINGTON AVENUE,10035,,,40.804762510124625,"{'type': 'Point', 'coordinates': [-73.936859993641, 40.804762510125]}",Commercial Building,-73.93685999364146,MOBILE,MANHATTAN,Unspecified,2019-01-26T19:38:39.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,LEXINGTON AVENUE,,,41524907,1001730,232480
9,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BRONX,,,,BRONX,2019-01-26T00:00:00.000,Unspecified BRONX,Rodent,2019-01-26T00:00:00.000,,,Mouse Sighting,2019-02-25T17:12:53.000,N/A,1690 NELSON AVENUE,10453,,,40.84787230426459,"{'type': 'Point', 'coordinates': [-73.917199727966, 40.847872304265]}",3+ Family Apt. Building,-73.91719972796636,MOBILE,BRONX,Unspecified,2019-01-26T17:16:20.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,NELSON AVENUE,,,41525241,1007158,248191
10,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3013490001,BROOKLYN,,,,BROOKLYN,2019-02-08T15:57:28.000,08 BROOKLYN,Rodent,2019-01-26T00:00:00.000,UTICA AVENUE,ROCHESTER AVENUE,Mouse Sighting,2019-02-25T20:23:05.000,N/A,1599 BERGEN STREET,11213,,,40.67501409061753,"{'type': 'Point', 'coordinates': [-73.929942067052, 40.675014090618]}",3+ Family Apt. Building,-73.92994206705205,PHONE,BROOKLYN,Unspecified,2019-02-08T15:57:28.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,BERGEN STREET,,,41525546,1003683,185210
11,ADDRESS,DOHMH,Department of Health and Mental Hygiene,5007350081,STATEN ISLAND,,,,STATEN ISLAND,2019-02-08T00:00:00.000,01 STATEN ISLAND,Rodent,2019-01-26T00:00:00.000,CARMEL AVENUE,O'CONNOR AVENUE,Condition Attracting Rodents,2019-02-25T09:03:07.000,N/A,2216 VICTORY BOULEVARD,10314,,,40.612034696062125,"{'type': 'Point', 'coordinates': [-74.137318460612, 40.612034696062]}",Commercial Building,-74.13731846061239,ONLINE,STATEN ISLAND,Unspecified,2019-02-08T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,VICTORY BOULEVARD,,,41525579,946124,162287
12,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3061220022,BROOKLYN,,,,BROOKLYN,2019-02-25T00:00:00.000,10 BROOKLYN,Unsanitary Animal Pvt Property,2019-01-26T00:00:00.000,3 AVENUE,4 AVENUE,Dog,2019-02-25T11:05:34.000,N/A,338 96 STREET,11209,,,40.61600687269316,"{'type': 'Point', 'coordinates': [-74.032903485762, 40.616006872693]}",3+ Family Apartment Building,-74.03290348576192,UNKNOWN,BROOKLYN,Unspecified,2019-02-25T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,96 STREET,,,41525653,975115,163706
13,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BRONX,,,,BRONX,2019-01-28T00:00:00.000,Unspecified BRONX,Rodent,2019-01-26T00:00:00.000,,,Signs of Rodents,2019-02-25T08:58:25.000,N/A,814 HEWITT PLACE,10459,,,40.8188164983099,"{'type': 'Point', 'coordinates': [-73.899583284735, 40.81881649831]}",3+ Family Apt. Building,-73.89958328473477,MOBILE,BRONX,Unspecified,2019-01-28T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,HEWITT PLACE,,,41525802,1012044,237610
14,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3068410001,BROOKLYN,,,,BROOKLYN,2019-02-01T00:00:00.000,15 BROOKLYN,Unsanitary Animal Pvt Property,2019-01-26T00:00:00.000,AVENUE R,FILLMORE AVENUE,Dog,2019-02-25T15:48:09.000,N/A,1807 STUART STREET,11229,,,40.60858840952349,"{'type': 'Point', 'coordinates': [-73.941331335573, 40.608588409523]}",1-2 Family Mixed Use Building,-73.9413313355732,UNKNOWN,BROOKLYN,Unspecified,2019-02-01T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,STUART STREET,,,41525982,1000540,161007
15,INTERSECTION,DOHMH,Department of Health and Mental Hygiene,,MANHATTAN,,,,NEW YORK,2019-01-29T00:00:00.000,10 MANHATTAN,Rodent,2019-01-26T00:00:00.000,,,Rat Sighting,2019-02-25T16:40:27.000,N/A,,10030,FREDERICK DOUGLASS BOULEVARD,WEST 136 STREET,40.81717607167883,"{'type': 'Point', 'coordinates': [-73.946057250339, 40.817176071679]}",Vacant Lot,-73.94605725033874,PHONE,MANHATTAN,Unspecified,2019-01-29T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,,,,41526229,999181,237001
16,LATLONG,DOHMH,Department of Health and Mental Hygiene,,MANHATTAN,,,,NEW YORK,2019-02-05T00:00:00.000,Unspecified MANHATTAN,Rodent,2019-01-26T00:00:00.000,,,Signs of Rodents,2019-02-25T22:29:51.000,N/A,575 WEST 177 STREET,10033,,,40.84653308875483,"{'type': 'Point', 'coordinates': [-73.934604719871, 40.846533088755]}",3+ Family Apt. Building,-73.93460471987069,MOBILE,MANHATTAN,Unspecified,2019-02-05T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WEST 177 STREET,,,41526289,1002343,247699
17,LATLONG,DOHMH,Department of Health and Mental Hygiene,,STATEN ISLAND,,,,STATEN ISLAND,2019-01-26T00:00:00.000,Unspecified STATEN ISLAND,Rodent,2019-01-26T00:00:00.000,,,Condition Attracting Rodents,2019-02-25T14:15:23.000,N/A,273 PULASKI AVENUE,10303,,,40.63163649368754,"{'type': 'Point', 'coordinates': [-74.147417706204, 40.631636493688]}",Vacant Building,-74.14741770620408,MOBILE,STATEN ISLAND,Unspecified,2019-01-26T14:18:25.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,PULASKI AVENUE,,,41526451,943332,169433
18,ADDRESS,DOHMH,Department of Health and Mental Hygiene,,MANHATTAN,,,,NEW YORK,2019-02-05T00:00:01.000,04 MANHATTAN,Food Poisoning,2019-01-26T00:00:00.000,WEST 39 STREET,9 AVENUE,1 or 2,2019-02-09T12:19:22.000,N/A,,10018,9 AVENUE,WEST   39 STREET,40.75652720236339,"{'type': 'Point', 'coordinates': [-73.994019037767, 40.756527202363]}",Other (Explain Below),-73.99401903776727,PHONE,MANHATTAN,Unspecified,2019-02-05T10:57:47.000,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",,Closed,,,,41526459,985907,214900
19,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1020430018,MANHATTAN,,,,NEW YORK,2019-02-15T00:00:00.000,10 MANHATTAN,Rodent,2019-01-26T00:00:00.000,8 AVENUE,BRADHURST AVENUE,Condition Attracting Rodents,2019-02-25T11:20:36.000,N/A,300 WEST  142 STREET,10030,,,40.82099276164245,"{'type': 'Point', 'coordinates': [-73.943521436536, 40.820992761642]}",3+ Family Apt. Building,-73.94352143653646,PHONE,MANHATTAN,Unspecified,2019-02-15T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WEST  142 STREET,,,41526667,999882,238392
