,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
0,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1007330001,MANHATTAN,,,,NEW YORK,2019-02-01T14:37:52.000,04 MANHATTAN,Food Poisoning,2019-01-19T00:00:00.000,WEST 35 STREET,WEST 36 STREET,1 or 2,2019-02-02T00:07:42.000,N/A,450 10 AVENUE,10018,,,40.75533887421228,"{'type': 'Point', 'coordinates': [-73.998585096338, 40.755338874212]}",Restaurant/Bar/Deli/Bakery,-73.998585096338,ONLINE,MANHATTAN,Unspecified,2019-02-01T14:37:51.000,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",,Closed,10 AVENUE,,,41460200,984642,214467
1,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BRONX,,,,BRONX,2019-01-19T00:00:00.000,Unspecified BRONX,Rodent,2019-01-19T00:00:00.000,,,Rat Sighting,2019-02-18T01:18:45.000,N/A,871 BROOK AVENUE,10451,,,40.82251739638474,"{'type': 'Point', 'coordinates': [-73.910836101135, 40.822517396385]}",3+ Family Apt. Building,-73.91083610113502,MOBILE,BRONX,Unspecified,2019-01-19T01:23:09.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,BROOK AVENUE,,,41462270,1008928,238955
2,ADDRESS,DOHMH,Department of Health and Mental Hygiene,5028770025,STATEN ISLAND,,,,STATEN ISLAND,2019-01-19T00:00:00.000,01 STATEN ISLAND,Rodent,2019-01-19T00:00:00.000,ROFF STREET,SOBEL COURT,Mouse Sighting,2019-02-18T09:26:07.000,N/A,55 BOWEN STREET,10304,,,40.61407916400953,"{'type': 'Point', 'coordinates': [-74.083428738815, 40.61407916401]}",3+ Family Apt. Building,-74.0834287388146,PHONE,STATEN ISLAND,Unspecified,2019-01-19T09:37:01.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,BOWEN STREET,,,41463432,961087,163013
3,LATLONG,DOHMH,Department of Health and Mental Hygiene,,MANHATTAN,,,,NEW YORK,,Unspecified MANHATTAN,Rodent,2019-01-19T00:00:00.000,,,Rat Sighting,2019-02-18T20:19:54.000,N/A,557 GRAND STREET,10002,,,40.71383929075487,"{'type': 'Point', 'coordinates': [-73.980434542607, 40.713839290755]}",Commercial Building,-73.9804345426069,MOBILE,MANHATTAN,Unspecified,2019-01-19T20:28:13.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Assigned,GRAND STREET,,,41463460,989674,199348
4,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1006300007,MANHATTAN,,,,NEW YORK,2019-01-25T19:39:23.000,02 MANHATTAN,Rodent,2019-01-19T00:00:00.000,CHRISTOPHER STREET,WEST 10 STREET,Rat Sighting,2019-02-18T13:26:56.000,N/A,661 WASHINGTON STREET,10014,,,40.733152750474495,"{'type': 'Point', 'coordinates': [-74.008569585063, 40.733152750474]}",3+ Family Apt. Building,-74.00856958506263,ONLINE,MANHATTAN,Unspecified,2019-01-25T19:39:23.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WASHINGTON STREET,,,41463708,981875,206384
5,ADDRESS,DOHMH,Department of Health and Mental Hygiene,5005320011,STATEN ISLAND,,,,STATEN ISLAND,2019-02-06T00:00:00.000,01 STATEN ISLAND,Rodent,2019-01-19T00:00:00.000,BROAD STREET,TOMPKINS STREET,Rat Sighting,2019-02-18T07:39:26.000,N/A,2 QUINN STREET,10304,,,40.624823018540134,"{'type': 'Point', 'coordinates': [-74.078488880381, 40.62482301854]}",1-2 Family Mixed Use Building,-74.07848888038124,PHONE,STATEN ISLAND,Unspecified,2019-02-06T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,QUINN STREET,,,41463753,962462,166926
6,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BRONX,,,,BRONX,2019-01-24T00:00:00.000,Unspecified BRONX,Rodent,2019-01-19T00:00:00.000,,,Condition Attracting Rodents,2019-02-18T21:30:50.000,N/A,2010 POWELL AVENUE,10472,,,40.83023008443566,"{'type': 'Point', 'coordinates': [-73.856460446958, 40.830230084436]}",3+ Family Apt. Building,-73.85646044695774,MOBILE,BRONX,Unspecified,2019-01-24T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,POWELL AVENUE,,,41463771,1023973,241785
7,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3047960022,BROOKLYN,,,,BROOKLYN,2019-01-24T15:32:14.000,09 BROOKLYN,Rodent,2019-01-19T00:00:00.000,NOSTRAND AVENUE,NEW YORK AVENUE,Mouse Sighting,2019-02-18T12:47:03.000,N/A,340 MAPLE STREET,11225,,,40.660894179220875,"{'type': 'Point', 'coordinates': [-73.949402303274, 40.660894179221]}",3+ Family Apt. Building,-73.9494023032745,ONLINE,BROOKLYN,Unspecified,2019-01-24T15:32:14.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,MAPLE STREET,,,41463812,998288,180062
8,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-01-25T00:00:00.000,Unspecified BROOKLYN,Rodent,2019-01-19T00:00:00.000,,,Signs of Rodents,2019-02-18T10:00:13.000,N/A,57 HANCOCK STREET,11216,,,40.682362773876974,"{'type': 'Point', 'coordinates': [-73.953424172539, 40.682362773877]}",3+ Family Apt. Building,-73.95342417253883,MOBILE,BROOKLYN,Unspecified,2019-01-25T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,HANCOCK STREET,,,41463823,997168,187883
9,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-01-24T00:00:00.000,Unspecified BROOKLYN,Rodent,2019-01-19T00:00:00.000,,,Signs of Rodents,2019-02-18T16:02:37.000,N/A,170 WILSON AVENUE,11221,,,40.6996723742364,"{'type': 'Point', 'coordinates': [-73.924427160113, 40.699672374236]}",3+ Family Apt. Building,-73.9244271601135,MOBILE,BROOKLYN,Unspecified,2019-01-24T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WILSON AVENUE,,,41463824,1005205,194195
10,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-01-25T15:16:53.000,Unspecified BROOKLYN,Rodent,2019-01-19T00:00:00.000,,,Mouse Sighting,2019-02-18T15:32:32.000,N/A,339 MARION STREET,11233,,,40.68147117218925,"{'type': 'Point', 'coordinates': [-73.915625247059, 40.681471172189]}",3+ Family Apt. Building,-73.9156252470592,MOBILE,BROOKLYN,Unspecified,2019-01-25T15:16:53.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,MARION STREET,,,41463903,1007652,187566
