,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,vehicle_type,x_coordinate_state_plane,y_coordinate_state_plane
0,ADDRESS,DOHMH,Department of Health and Mental Hygiene,2031730054,BRONX,,,,BRONX,2019-01-24T15:25:00.000,05 BRONX,Rodent,2019-01-18T00:00:00.000,EAST 184 STREET,EAST 188 STREET,Signs of Rodents,2019-02-17T15:09:36.000,N/A,2387 CRESTON AVENUE,10468,,,40.86011341385042,"{'type': 'Point', 'coordinates': [-73.899578773317, 40.86011341385]}",3+ Family Apt. Building,-73.89957877331685,PHONE,BRONX,Unspecified,2019-01-24T15:25:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,CRESTON AVENUE,,,41459250,,1012028,252656
1,ADDRESS,DOHMH,Department of Health and Mental Hygiene,2028780190,BRONX,,,,BRONX,2019-01-24T15:24:43.000,05 BRONX,Rodent,2019-01-18T00:00:00.000,WEST 176 STREET,WEST TREMONT AVENUE,Rat Sighting,2019-02-17T13:11:48.000,N/A,1760 ANDREWS AVENUE,10453,,,40.850537260475846,"{'type': 'Point', 'coordinates': [-73.916986762861, 40.850537260476]}",3+ Family Mixed Use Building,-73.91698676286084,PHONE,BRONX,Unspecified,2019-01-24T15:24:43.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,ANDREWS AVENUE,,,41458756,,1007216,249162
2,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1010760037,MANHATTAN,,,,NEW YORK,2019-01-29T00:00:00.000,04 MANHATTAN,Rodent,2019-01-18T00:00:00.000,10 AVENUE,AMTRAK RAILROAD,Mouse Sighting,2019-02-17T02:06:20.000,N/A,504 WEST   48 STREET,10036,,,40.76368271098699,"{'type': 'Point', 'coordinates': [-73.993325294347, 40.763682710987]}",3+ Family Apt. Building,-73.99332529434737,ONLINE,MANHATTAN,Unspecified,2019-01-29T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WEST   48 STREET,,,41448809,,986099,217507
3,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1012657501,MANHATTAN,,,,NEW YORK,2019-01-18T00:00:01.000,05 MANHATTAN,Food Poisoning,2019-01-18T00:00:00.000,WEST 49 STREET,WEST 50 STREET,1 or 2,2019-02-01T06:15:42.000,N/A,30 ROCKEFELLER PLAZA,10112,,,40.75875411971916,"{'type': 'Point', 'coordinates': [-73.978692335092, 40.758754119719]}",Restaurant/Bar/Deli/Bakery,-73.97869233509232,PHONE,MANHATTAN,Unspecified,2019-02-01T14:23:25.000,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",,Closed,ROCKEFELLER PLAZA,,,41455280,,990153,215712
4,ADDRESS,DOHMH,Department of Health and Mental Hygiene,2048280026,BRONX,,,,BRONX,2019-01-22T16:34:06.000,12 BRONX,Rodent,2019-01-18T00:00:00.000,EAST 226 STREET,EAST 227 STREET,Rat Sighting,2019-02-17T15:57:18.000,N/A,4004 CARPENTER AVENUE,10466,,,40.88963044882706,"{'type': 'Point', 'coordinates': [-73.862824242396, 40.889630448827]}",3+ Family Apt. Building,-73.86282424239596,PHONE,BRONX,Unspecified,2019-01-22T16:34:06.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,CARPENTER AVENUE,,,41455359,,1022178,263424
5,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4103950042,QUEENS,,,,Saint Albans,2019-01-24T00:00:00.000,12 QUEENS,Rodent,2019-01-18T00:00:00.000,114 ROAD,114 DRIVE,Rat Sighting,2019-02-17T14:20:20.000,N/A,114-36 FARMERS BOULEVARD,11412,,,40.697035520351946,"{'type': 'Point', 'coordinates': [-73.761908725666, 40.697035520352]}",3+ Family Mixed Use Building,-73.76190872566558,PHONE,QUEENS,Unspecified,2019-01-24T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,FARMERS BOULEVARD,,,41455384,,1050271,193315
6,ADDRESS,DOHMH,Department of Health and Mental Hygiene,2033040098,BRONX,,,,BRONX,2019-01-25T13:30:41.000,07 BRONX,Rodent,2019-01-18T00:00:00.000,MIRIAM STREET,EAST 197 STREET,Rat Sighting,2019-02-17T12:04:39.000,N/A,2780 GRAND CONCOURSE,10458,,,40.86882672635356,"{'type': 'Point', 'coordinates': [-73.892265696834, 40.868826726354]}",3+ Family Apt. Building,-73.89226569683444,PHONE,BRONX,Unspecified,2019-01-25T13:30:41.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,GRAND CONCOURSE,,,41455646,,1014047,255833
7,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-01-18T00:00:00.000,Unspecified BROOKLYN,Rodent,2019-01-18T00:00:00.000,,,Condition Attracting Rodents,2019-02-17T18:55:58.000,N/A,826 MARCY AVENUE,11216,,,40.68530811137981,"{'type': 'Point', 'coordinates': [-73.947505230539, 40.68530811138]}",3+ Family Apt. Building,-73.94750523053887,MOBILE,BROOKLYN,Unspecified,2019-01-18T18:58:26.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,MARCY AVENUE,,,41455903,,998809,188957
8,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-01-18T00:00:00.000,Unspecified BROOKLYN,Rodent,2019-01-18T00:00:00.000,,,Rat Sighting,2019-02-17T17:36:37.000,N/A,742 CHAUNCEY STREET,11207,,,40.685567811028804,"{'type': 'Point', 'coordinates': [-73.906815009251, 40.685567811029]}",1-2 Family Dwelling,-73.90681500925112,MOBILE,BROOKLYN,Unspecified,2019-01-18T17:39:34.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,CHAUNCEY STREET,,,41455931,,1010094,189061
9,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3014920001,BROOKLYN,,,,BROOKLYN,2019-01-18T00:00:00.000,16 BROOKLYN,Unsanitary Animal Pvt Property,2019-01-18T00:00:00.000,HANCOCK STREET,HALSEY STREET,Dog,2019-02-17T19:53:41.000,N/A,33 SARATOGA AVENUE,11233,,,40.68589729828178,"{'type': 'Point', 'coordinates': [-73.917768638322, 40.685897298282]}",3+ Family Apartment Building,-73.91776863832224,ONLINE,BROOKLYN,Unspecified,2019-01-18T20:01:17.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,SARATOGA AVENUE,,,41455937,,1007056,189178
