,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
0,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4109610528,QUEENS,,,,Saint Albans,2019-02-01T00:00:00.000,12 QUEENS,Unsanitary Animal Pvt Property,2019-01-27T00:00:00.000,111 AVENUE,112 AVENUE,Dog,2019-02-26T01:20:41.000,N/A,111-46 204 STREET,11412,,,40.704344555619244,"{'type': 'Point', 'coordinates': [-73.752653073448, 40.704344555619]}",1-2 Family Mixed Use Building,-73.75265307344839,ONLINE,QUEENS,Unspecified,2019-02-01T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,204 STREET,,41525313,1052830,195985
1,LATLONG,DOHMH,Department of Health and Mental Hygiene,,MANHATTAN,,,,NEW YORK,2019-01-27T00:00:00.000,Unspecified MANHATTAN,Rodent,2019-01-27T00:00:00.000,,,Rat Sighting,2019-02-26T02:04:26.000,N/A,28 MARKET STREET,10002,,,40.71283347939938,"{'type': 'Point', 'coordinates': [-73.994192494316, 40.712833479399]}",3+ Family Apt. Building,-73.99419249431647,MOBILE,MANHATTAN,Unspecified,2019-01-27T02:07:28.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,MARKET STREET,,41528973,985860,198981
2,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1021220058,MANHATTAN,,,,NEW YORK,2019-02-05T11:11:42.000,12 MANHATTAN,Food Poisoning,2019-01-27T00:00:00.000,WEST 163 STREET,WEST 164 STREET,1 or 2,2019-02-10T00:09:53.000,N/A,3908 BROADWAY,10032,,,40.83808604887562,"{'type': 'Point', 'coordinates': [-73.941924020408, 40.838086048876]}",Restaurant/Bar/Deli/Bakery,-73.94192402040838,ONLINE,MANHATTAN,Unspecified,2019-02-05T11:11:41.000,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",,Closed,BROADWAY,,41530087,1000320,244620
3,LATLONG,DOHMH,Department of Health and Mental Hygiene,,MANHATTAN,,,,NEW YORK,2019-01-27T00:00:00.000,Unspecified MANHATTAN,Rodent,2019-01-27T00:00:00.000,,,Signs of Rodents,2019-02-26T00:21:10.000,N/A,2390 2 AVENUE,10035,,,40.80058865387472,"{'type': 'Point', 'coordinates': [-73.933530166482, 40.800588653875]}",3+ Family Apt. Building,-73.93353016648202,MOBILE,MANHATTAN,Unspecified,2019-01-27T00:24:25.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,2 AVENUE,,41530216,1002653,230960
4,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4042930003,QUEENS,,,,Flushing,2019-02-15T00:00:00.000,07 QUEENS,Unsanitary Animal Pvt Property,2019-01-27T00:00:00.000,COLLEGE POINT BOULEVARD,123 STREET,Dog,2019-02-26T09:42:31.000,N/A,122-08 26 AVENUE,11354,,,40.77444142018011,"{'type': 'Point', 'coordinates': [-73.846366626876, 40.77444142018]}",1-2 Family Dwelling,-73.84636662687582,UNKNOWN,QUEENS,Unspecified,2019-02-15T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,26 AVENUE,,41531999,1026802,221464
5,ADDRESS,DOHMH,Department of Health and Mental Hygiene,2039060001,BRONX,,,,BRONX,2019-01-28T00:00:00.000,06 BRONX,Rodent,2019-01-27T00:00:00.000,DEVOE AVENUE,BRONX PARK AVENUE,Condition Attracting Rodents,2019-02-26T09:41:41.000,N/A,1110 WYATT STREET,10460,,,40.83930620730105,"{'type': 'Point', 'coordinates': [-73.877300918067, 40.839306207301]}",3+ Family Apt. Building,-73.8773009180668,PHONE,BRONX,Unspecified,2019-01-28T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WYATT STREET,,41532244,1018201,245083
6,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1018700037,MANHATTAN,,,,NEW YORK,2019-01-27T00:00:00.000,07 MANHATTAN,Rodent,2019-01-27T00:00:00.000,AMSTERDAM AVENUE,BROADWAY,Condition Attracting Rodents,2019-02-26T15:36:11.000,N/A,206 WEST   99 STREET,10025,,,40.796113346902224,"{'type': 'Point', 'coordinates': [-73.969268393847, 40.796113346902]}",3+ Family Apt. Building,-73.96926839384749,PHONE,MANHATTAN,Unspecified,2019-01-27T15:51:27.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WEST   99 STREET,,41532250,992759,229324
7,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-02-06T00:00:00.000,Unspecified BROOKLYN,Rodent,2019-01-27T00:00:00.000,,,Signs of Rodents,2019-02-26T19:23:12.000,N/A,1793 PARK PLACE,11233,,,40.67201478083763,"{'type': 'Point', 'coordinates': [-73.918546396913, 40.672014780838]}",3+ Family Apt. Building,-73.91854639691276,MOBILE,BROOKLYN,Unspecified,2019-02-06T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,PARK PLACE,,41532375,1006845,184120
8,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-02-04T00:00:00.000,Unspecified BROOKLYN,Rodent,2019-01-27T00:00:00.000,,,Signs of Rodents,2019-02-26T09:34:01.000,N/A,8109 BAY PARKWAY,11214,,,40.604359564481086,"{'type': 'Point', 'coordinates': [-73.990849133034, 40.604359564481]}",Commercial Building,-73.99084913303417,MOBILE,BROOKLYN,Unspecified,2019-02-04T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,BAY PARKWAY,,41532376,986791,159461
9,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BRONX,,,,BRONX,2019-01-28T00:00:00.000,Unspecified BRONX,Rodent,2019-01-27T00:00:00.000,,,Mouse Sighting,2019-02-26T21:57:06.000,N/A,906 EAST 180 STREET,10460,,,40.84461128726808,"{'type': 'Point', 'coordinates': [-73.88213790297, 40.844611287268]}",1-2 Family Dwelling,-73.88213790296975,MOBILE,BRONX,Unspecified,2019-01-28T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,EAST 180 STREET,,41532419,1016860,247014
10,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3001640041,BROOKLYN,,,,BROOKLYN,2019-02-05T11:15:30.000,02 BROOKLYN,Food Poisoning,2019-01-27T00:00:00.000,SMITH STREET,HOYT STREET,1 or 2,2019-02-10T14:25:23.000,N/A,193 SCHERMERHORN STREET,11201,,,40.6891070595386,"{'type': 'Point', 'coordinates': [-73.986351809079, 40.689107059539]}",Restaurant/Bar/Deli/Bakery,-73.98635180907868,ONLINE,BROOKLYN,Unspecified,2019-02-05T11:15:29.000,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",,Closed,SCHERMERHORN STREET,,41532534,988035,190337
