,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
0,ADDRESS,DOHMH,Department of Health and Mental Hygiene,5054607501,STATEN ISLAND,,,,STATEN ISLAND,2019-01-28T00:00:00.000,03 STATEN ISLAND,Rodent,2019-01-06T00:00:00.000,ACACIA AVENUE,OLD AMBOY ROAD,Rat Sighting,2019-02-05T00:29:01.000,N/A,4211 AMBOY ROAD,10308,,,40.54753206733799,"{'type': 'Point', 'coordinates': [-74.156393247894, 40.547532067338]}",Other (Explain Below),-74.15639324789379,ONLINE,STATEN ISLAND,Unspecified,2019-01-28T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,AMBOY ROAD,,,41346357,940786,138796
1,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-01-17T16:26:26.000,Unspecified BROOKLYN,Rodent,2019-01-06T00:00:00.000,,,Mouse Sighting,2019-02-05T01:06:25.000,N/A,1865 OCEAN AVENUE,11210,,,40.61658164263858,"{'type': 'Point', 'coordinates': [-73.95428411097, 40.616581642639]}",3+ Family Apt. Building,-73.95428411096985,MOBILE,BROOKLYN,Unspecified,2019-01-17T16:26:26.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,OCEAN AVENUE,,,41346433,996942,163917
2,ADDRESS,DOHMH,Department of Health and Mental Hygiene,2031430001,BRONX,,,,BRONX,2019-01-14T00:00:00.000,05 BRONX,Rodent,2019-01-06T00:00:00.000,EAST 180 STREET,BEND,Rat Sighting,2019-02-05T00:36:59.000,N/A,2100 TIEBOUT AVENUE,10457,,,40.852803680010794,"{'type': 'Point', 'coordinates': [-73.898903008979, 40.852803680011]}",3+ Family Apt. Building,-73.89890300897932,PHONE,BRONX,Unspecified,2019-01-14T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,TIEBOUT AVENUE,,,41347006,1012218,249993
3,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3011790071,BROOKLYN,,,,BROOKLYN,2019-01-09T00:00:00.000,08 BROOKLYN,Rodent,2019-01-06T00:00:00.000,UNDERHILL AVENUE,BEND,Rat Sighting,2019-02-05T00:41:55.000,N/A,95 EASTERN PARKWAY,11238,,,40.672620422134116,"{'type': 'Point', 'coordinates': [-73.965792424582, 40.672620422134]}",3+ Family Apt. Building,-73.9657924245824,ONLINE,BROOKLYN,Unspecified,2019-01-09T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,EASTERN PARKWAY,,,41347692,993739,184332
4,INTERSECTION,DOHMH,Department of Health and Mental Hygiene,,BRONX,,,,BRONX,2019-01-09T00:00:00.000,08 BRONX,Rodent,2019-01-06T00:00:00.000,,,Rat Sighting,2019-02-05T00:57:07.000,N/A,,10463,VANCORTLANDT PARK SOUTH,HILLMAN AVENUE,40.8846860238732,"{'type': 'Point', 'coordinates': [-73.889845891039, 40.884686023873]}",Other (Explain Below),-73.88984589103906,PHONE,BRONX,Unspecified,2019-01-09T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,,,,41348176,1014709,261612
5,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3076560073,BROOKLYN,,,,BROOKLYN,2019-01-17T16:26:26.000,14 BROOKLYN,Rodent,2019-01-06T00:00:00.000,BAY AVENUE,AVENUE N,Mouse Sighting,2019-02-05T00:56:24.000,N/A,1865 OCEAN AVENUE,11230,,,40.61650493113303,"{'type': 'Point', 'coordinates': [-73.954644357649, 40.616504931133]}",Other (Explain Below),-73.95464435764946,ONLINE,BROOKLYN,Unspecified,2019-01-17T16:26:26.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,OCEAN AVENUE,,,41349197,996842,163889
6,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1013370049,MANHATTAN,,,,NEW YORK,2019-01-07T00:00:01.000,06 MANHATTAN,Food Poisoning,2019-01-06T00:00:00.000,EAST 44 STREET,EAST 45 STREET,1 or 2,2019-01-20T01:54:45.000,N/A,844 2 AVENUE,10017,,,40.75164900336006,"{'type': 'Point', 'coordinates': [-73.970862538841, 40.75164900336]}",Restaurant/Bar/Deli/Bakery,-73.97086253884062,ONLINE,MANHATTAN,Unspecified,2019-01-15T13:19:50.000,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",,Closed,2 AVENUE,,,41349475,992323,213124
7,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4016020036,QUEENS,,,,Elmhurst,2019-01-06T00:00:00.000,04 QUEENS,Rodent,2019-01-06T00:00:00.000,94 STREET,JUNCTION BOULEVARD,Rat Sighting,2019-02-05T01:18:04.000,N/A,94-66 45 AVENUE,11373,,,40.74402865135486,"{'type': 'Point', 'coordinates': [-73.870117967692, 40.744028651355]}",3+ Family Mixed Use Building,-73.87011796769158,ONLINE,QUEENS,Unspecified,2019-01-06T01:19:45.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,45 AVENUE,,,41350688,1020240,210373
8,ADDRESS,DOHMH,Department of Health and Mental Hygiene,5024400002,STATEN ISLAND,,,,STATEN ISLAND,2019-01-07T10:10:41.000,02 STATEN ISLAND,Food Poisoning,2019-01-06T00:00:00.000,PLATINUM AVENUE,YUKON AVENUE,1 or 2,2019-01-20T23:21:48.000,N/A,2811 RICHMOND AVENUE,10314,,,40.578131633109,"{'type': 'Point', 'coordinates': [-74.16964405071, 40.578131633109]}",Restaurant/Bar/Deli/Bakery,-74.16964405071002,PHONE,STATEN ISLAND,Unspecified,2019-01-07T10:10:41.000,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",,Closed,RICHMOND AVENUE,,,41352201,937125,149951
9,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3011630049,BROOKLYN,,,,BROOKLYN,2019-01-07T00:00:01.000,08 BROOKLYN,Food Poisoning,2019-01-06T00:00:00.000,PROSPECT PLACE,PARK PLACE,1 or 2,2019-01-20T22:53:58.000,N/A,688 FRANKLIN AVENUE,11238,,,40.67487347487957,"{'type': 'Point', 'coordinates': [-73.956461286628, 40.67487347488]}",Restaurant/Bar/Deli/Bakery,-73.95646128662821,PHONE,BROOKLYN,Unspecified,2019-01-15T13:37:07.000,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",,Closed,FRANKLIN AVENUE,,,41352224,996327,185154
